"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","10","0","0","0","0","0","0","0","0","4","0","0",2020,15,2020-04-04,2020-04-10
"2","Gampaha","7","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"3","Kalutara","10","0","0","0","0","4","1","0","0","7","0","0",2020,15,2020-04-04,2020-04-10
"4","Kandy","2","0","0","0","0","1","0","0","0","2","0","0",2020,15,2020-04-04,2020-04-10
"5","Matale","0","0","0","0","0","1","0","0","0","0","0","3",2020,15,2020-04-04,2020-04-10
"6","NuwaraEliya","0","0","0","0","0","0","0","0","0","1","0","0",2020,15,2020-04-04,2020-04-10
"7","Galle","1","0","0","0","0","0","0","0","0","3","0","0",2020,15,2020-04-04,2020-04-10
"8","Hambanthota","0","0","0","0","0","0","0","0","0","2","0","0",2020,15,2020-04-04,2020-04-10
"9","Matara","0","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"10","Jaffna","8","2","0","0","0","0","0","0","0","2","2","0",2020,15,2020-04-04,2020-04-10
"11","Kilinochchi","0","0","0","0","0","0","1","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"13","Vavuniya","1","1","0","1","0","0","0","0","0","6","0","0",2020,15,2020-04-04,2020-04-10
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"15","Batticaloa","22","0","0","0","0","0","0","0","0","1","0","0",2020,15,2020-04-04,2020-04-10
"16","Ampara","2","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"17","Trincomalee","7","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"18","Kurunagala","1","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"19","Puttalam","0","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"20","Anuradhapura","2","0","0","0","0","1","0","0","0","1","0","0",2020,15,2020-04-04,2020-04-10
"21","Polonnaruwa","0","0","0","0","0","0","0","0","0","1","0","0",2020,15,2020-04-04,2020-04-10
"22","Badulla","1","0","0","0","0","2","2","0","0","1","0","0",2020,15,2020-04-04,2020-04-10
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"24","Ratnapura","2","0","0","0","0","0","0","0","0","0","0","0",2020,15,2020-04-04,2020-04-10
"25","Kegalle","3","0","0","0","0","0","0","0","0","1","0","0",2020,15,2020-04-04,2020-04-10
"26","Kalmune","9","0","0","0","0","0","0","0","0","2","0","0",2020,15,2020-04-04,2020-04-10
