"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","616","0","0","1","0","7","1","0","1","6","3","0",2019,52,2019-12-21,2019-12-27
"2","Gampaha","362","0","0","0","0","0","0","0","0","12","0","2",2019,52,2019-12-21,2019-12-27
"3","Kalutara","193","1","0","1","1","18","0","0","0","16","1","0",2019,52,2019-12-21,2019-12-27
"4","Kandy","273","0","0","1","1","5","0","0","0","9","2","3",2019,52,2019-12-21,2019-12-27
"5","Matale","128","0","0","0","0","3","0","0","0","0","0","4",2019,52,2019-12-21,2019-12-27
"6","NuwaraEliya","22","2","0","6","1","1","1","0","0","6","2","0",2019,52,2019-12-21,2019-12-27
"7","Galle","221","0","0","0","0","18","0","0","0","16","0","0",2019,52,2019-12-21,2019-12-27
"8","Hambanthota","42","1","0","0","0","22","2","0","0","3","0","9",2019,52,2019-12-21,2019-12-27
"9","Matara","49","0","0","0","0","11","0","1","0","8","0","6",2019,52,2019-12-21,2019-12-27
"10","Jaffna","425","8","0","2","0","1","16","0","0","3","0","0",2019,52,2019-12-21,2019-12-27
"11","Kilinochchi","25","0","0","3","0","1","0","0","0","0","1","0",2019,52,2019-12-21,2019-12-27
"12","Mannar","6","0","0","0","0","0","0","0","0","0","0","0",2019,52,2019-12-21,2019-12-27
"13","Vavuniya","43","1","0","0","0","1","0","0","0","1","0","0",2019,52,2019-12-21,2019-12-27
"14","Mullaitivu","8","0","0","0","0","0","0","0","0","0","0","1",2019,52,2019-12-21,2019-12-27
"15","Batticaloa","223","7","0","0","0","0","0","1","0","7","1","0",2019,52,2019-12-21,2019-12-27
"16","Ampara","9","1","0","0","0","1","0","0","0","4","1","0",2019,52,2019-12-21,2019-12-27
"17","Trincomalee","297","0","0","0","3","0","0","0","0","4","0","0",2019,52,2019-12-21,2019-12-27
"18","Kurunagala","136","3","0","0","0","8","0","0","0","14","2","11",2019,52,2019-12-21,2019-12-27
"19","Puttalam","100","0","0","0","0","3","0","0","0","1","0","0",2019,52,2019-12-21,2019-12-27
"20","Anuradhapura","47","0","0","0","0","18","1","0","0","4","0","6",2019,52,2019-12-21,2019-12-27
"21","Polonnaruwa","23","0","0","0","0","13","0","0","0","5","0","6",2019,52,2019-12-21,2019-12-27
"22","Badulla","84","1","0","0","0","12","3","0","0","2","2","0",2019,52,2019-12-21,2019-12-27
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2019,52,2019-12-21,2019-12-27
"24","Ratnapura","57","1","0","0","0","25","0","0","0","8","2","10",2019,52,2019-12-21,2019-12-27
"25","Kegalle","74","0","0","0","0","11","0","0","0","8","4","0",2019,52,2019-12-21,2019-12-27
"26","Kalmune","102","2","0","0","0","1","0","0","0","5","1","0",2019,52,2019-12-21,2019-12-27
