"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","10","0","0","0","0","3","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"2","Gampaha","3","0","0","0","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"3","Kalutara","8","0","0","0","3","5","1","0","0","13","0","0",2020,18,2020-04-25,2020-05-01
"4","Kandy","10","0","0","0","0","2","0","0","0","6","0","5",2020,18,2020-04-25,2020-05-01
"5","Matale","7","1","0","0","0","3","0","0","0","3","0","12",2020,18,2020-04-25,2020-05-01
"6","NuwaraEliya","0","0","0","0","0","2","4","0","0","2","0","0",2020,18,2020-04-25,2020-05-01
"7","Galle","8","0","0","0","0","12","0","0","0","1","0","0",2020,18,2020-04-25,2020-05-01
"8","Hambanthota","3","0","0","1","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"9","Matara","0","0","0","0","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"10","Jaffna","18","1","0","1","1","0","3","0","0","1","0","0",2020,18,2020-04-25,2020-05-01
"11","Kilinochchi","0","2","0","0","0","1","3","0","0","0","1","0",2020,18,2020-04-25,2020-05-01
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"13","Vavuniya","1","0","0","0","2","0","0","0","0","2","0","0",2020,18,2020-04-25,2020-05-01
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"15","Batticaloa","24","4","0","0","5","1","0","0","0","0","1","0",2020,18,2020-04-25,2020-05-01
"16","Ampara","3","2","0","0","0","21","0","0","0","5","1","0",2020,18,2020-04-25,2020-05-01
"17","Trincomalee","1","0","0","0","1","0","0","0","0","5","0","0",2020,18,2020-04-25,2020-05-01
"18","Kurunagala","0","0","0","0","0","0","0","0","0","2","0","0",2020,18,2020-04-25,2020-05-01
"19","Puttalam","5","0","0","0","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"20","Anuradhapura","0","1","0","0","0","3","1","1","0","4","1","0",2020,18,2020-04-25,2020-05-01
"21","Polonnaruwa","1","0","0","0","0","0","0","0","0","12","1","2",2020,18,2020-04-25,2020-05-01
"22","Badulla","2","0","0","1","0","3","4","0","0","1","4","0",2020,18,2020-04-25,2020-05-01
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,18,2020-04-25,2020-05-01
"24","Ratnapura","18","1","0","1","0","57","1","0","0","5","2","0",2020,18,2020-04-25,2020-05-01
"25","Kegalle","13","1","0","0","0","6","0","0","0","6","0","0",2020,18,2020-04-25,2020-05-01
"26","Kalmune","2","0","0","0","0","1","0","0","0","17","4","0",2020,18,2020-04-25,2020-05-01
