"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","53","0","0","0","0","3","0","0","0","1","1","0",2020,32,2020-08-01,2020-08-07
"2","Gampaha","31","0","1","0","0","7","3","0","0","1","2","0",2020,32,2020-08-01,2020-08-07
"3","Kalutara","14","0","0","0","0","15","0","0","0","3","0","0",2020,32,2020-08-01,2020-08-07
"4","Kandy","105","0","0","1","2","7","0","0","0","1","0","2",2020,32,2020-08-01,2020-08-07
"5","Matale","4","1","0","0","0","2","0","0","0","0","0","7",2020,32,2020-08-01,2020-08-07
"6","NuwaraEliya","1","0","0","0","0","2","1","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"7","Galle","15","0","0","0","0","19","3","0","0","2","2","0",2020,32,2020-08-01,2020-08-07
"8","Hambanthota","3","0","0","0","1","1","3","0","0","0","1","18",2020,32,2020-08-01,2020-08-07
"9","Matara","3","0","0","0","0","4","2","0","0","1","1","11",2020,32,2020-08-01,2020-08-07
"10","Jaffna","6","2","0","0","1","0","4","0","0","1","0","1",2020,32,2020-08-01,2020-08-07
"11","Kilinochchi","2","0","0","1","0","0","1","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"12","Mannar","0","0","0","0","0","0","0","0","0","0","1","0",2020,32,2020-08-01,2020-08-07
"13","Vavuniya","2","1","0","0","1","0","0","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"15","Batticaloa","6","2","0","0","0","0","0","0","0","3","0","0",2020,32,2020-08-01,2020-08-07
"16","Ampara","0","1","1","0","0","0","0","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"17","Trincomalee","2","0","0","0","0","0","3","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"18","Kurunagala","11","0","0","0","0","2","1","0","0","2","1","1",2020,32,2020-08-01,2020-08-07
"19","Puttalam","10","1","0","0","0","3","0","0","0","1","2","0",2020,32,2020-08-01,2020-08-07
"20","Anuradhapura","1","0","0","0","2","5","0","0","0","1","1","0",2020,32,2020-08-01,2020-08-07
"21","Polonnaruwa","1","0","0","0","0","1","0","0","0","0","1","1",2020,32,2020-08-01,2020-08-07
"22","Badulla","3","0","0","0","0","13","8","0","0","1","0","0",2020,32,2020-08-01,2020-08-07
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
"24","Ratnapura","38","2","0","0","3","26","1","1","0","1","1","2",2020,32,2020-08-01,2020-08-07
"25","Kegalle","17","1","1","0","0","6","0","0","0","1","2","2",2020,32,2020-08-01,2020-08-07
"26","Kalmune","5","0","0","0","0","0","0","0","0","0","0","0",2020,32,2020-08-01,2020-08-07
