"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","2","0","0","0","0","0","0","0","0","3","0","0",2020,14,2020-03-28,2020-04-03
"2","Gampaha","4","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"3","Kalutara","15","0","0","0","0","3","0","0","0","6","0","0",2020,14,2020-03-28,2020-04-03
"4","Kandy","6","1","0","0","0","0","1","0","0","4","0","0",2020,14,2020-03-28,2020-04-03
"5","Matale","2","0","0","0","0","0","0","0","0","0","0","2",2020,14,2020-03-28,2020-04-03
"6","NuwaraEliya","1","1","0","0","0","2","1","0","0","1","0","0",2020,14,2020-03-28,2020-04-03
"7","Galle","1","1","0","0","0","0","1","0","0","1","0","0",2020,14,2020-03-28,2020-04-03
"8","Hambanthota","0","0","0","0","0","0","0","0","0","1","0","0",2020,14,2020-03-28,2020-04-03
"9","Matara","0","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"10","Jaffna","17","0","0","2","0","0","7","0","0","7","1","0",2020,14,2020-03-28,2020-04-03
"11","Kilinochchi","1","3","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"13","Vavuniya","2","0","0","0","0","0","0","0","0","1","0","0",2020,14,2020-03-28,2020-04-03
"14","Mullaitivu","1","0","0","0","0","0","0","1","0","0","0","0",2020,14,2020-03-28,2020-04-03
"15","Batticaloa","24","2","0","0","0","0","0","0","0","8","0","0",2020,14,2020-03-28,2020-04-03
"16","Ampara","0","0","0","0","0","0","0","0","0","1","0","0",2020,14,2020-03-28,2020-04-03
"17","Trincomalee","18","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"18","Kurunagala","1","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"19","Puttalam","0","0","0","0","0","0","0","0","0","4","0","0",2020,14,2020-03-28,2020-04-03
"20","Anuradhapura","1","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"21","Polonnaruwa","1","0","0","0","0","1","0","0","0","2","0","1",2020,14,2020-03-28,2020-04-03
"22","Badulla","3","0","0","0","0","0","0","0","0","4","0","0",2020,14,2020-03-28,2020-04-03
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"24","Ratnapura","16","0","0","0","0","2","0","1","0","0","3","0",2020,14,2020-03-28,2020-04-03
"25","Kegalle","6","0","0","0","0","0","0","0","0","0","0","0",2020,14,2020-03-28,2020-04-03
"26","Kalmune","5","0","0","0","0","0","0","0","0","3","1","0",2020,14,2020-03-28,2020-04-03
