"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","24","0","0","0","0","9","0","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"2","Gampaha","8","0","0","0","0","5","0","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"3","Kalutara","8","0","0","0","0","35","0","0","0","4","0","0",2020,20,2020-05-09,2020-05-15
"4","Kandy","32","0","0","0","0","7","2","0","0","5","1","1",2020,20,2020-05-09,2020-05-15
"5","Matale","2","0","0","0","0","3","0","0","0","2","0","3",2020,20,2020-05-09,2020-05-15
"6","NuwaraEliya","1","0","0","0","0","1","1","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"7","Galle","8","0","0","0","0","15","2","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"8","Hambanthota","1","0","1","0","0","7","0","0","0","2","0","0",2020,20,2020-05-09,2020-05-15
"9","Matara","0","0","0","0","0","0","0","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"10","Jaffna","9","2","0","0","1","0","1","0","0","3","0","0",2020,20,2020-05-09,2020-05-15
"11","Kilinochchi","0","0","1","0","0","0","0","0","0","0","1","0",2020,20,2020-05-09,2020-05-15
"12","Mannar","1","0","0","0","0","0","0","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"13","Vavuniya","1","0","0","0","0","0","0","0","0","4","0","0",2020,20,2020-05-09,2020-05-15
"14","Mullaitivu","0","1","0","0","0","0","0","0","0","0","1","0",2020,20,2020-05-09,2020-05-15
"15","Batticaloa","12","0","0","0","0","1","0","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"16","Ampara","1","0","1","0","0","8","0","0","0","4","0","0",2020,20,2020-05-09,2020-05-15
"17","Trincomalee","6","0","0","0","0","4","0","0","0","1","0","0",2020,20,2020-05-09,2020-05-15
"18","Kurunagala","0","1","0","0","0","0","0","0","0","2","0","0",2020,20,2020-05-09,2020-05-15
"19","Puttalam","3","0","0","0","0","4","1","0","0","5","2","0",2020,20,2020-05-09,2020-05-15
"20","Anuradhapura","3","1","0","0","1","0","0","0","0","2","1","0",2020,20,2020-05-09,2020-05-15
"21","Polonnaruwa","0","0","0","0","0","8","0","0","0","11","1","2",2020,20,2020-05-09,2020-05-15
"22","Badulla","6","0","0","0","0","11","5","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,20,2020-05-09,2020-05-15
"24","Ratnapura","36","2","0","0","0","39","0","1","0","0","0","0",2020,20,2020-05-09,2020-05-15
"25","Kegalle","14","0","1","0","2","33","0","0","0","2","1","1",2020,20,2020-05-09,2020-05-15
"26","Kalmune","2","0","0","0","0","0","0","0","0","4","2","0",2020,20,2020-05-09,2020-05-15
