"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","481","0","0","1","0","3","0","0","0","9","2","0",2020,3,2020-01-11,2020-01-17
"2","Gampaha","219","1","0","0","0","2","0","0","0","5","1","0",2020,3,2020-01-11,2020-01-17
"3","Kalutara","107","0","0","1","0","2","0","0","0","6","1","0",2020,3,2020-01-11,2020-01-17
"4","Kandy","174","0","0","4","0","3","5","0","0","8","2","0",2020,3,2020-01-11,2020-01-17
"5","Matale","77","1","0","0","0","4","0","0","0","2","0","12",2020,3,2020-01-11,2020-01-17
"6","NuwaraEliya","16","0","0","0","0","0","3","0","0","1","0","0",2020,3,2020-01-11,2020-01-17
"7","Galle","193","3","1","1","0","20","1","1","0","21","1","0",2020,3,2020-01-11,2020-01-17
"8","Hambanthota","45","2","0","1","0","13","0","1","0","8","0","37",2020,3,2020-01-11,2020-01-17
"9","Matara","65","1","0","0","0","16","0","2","0","7","1","3",2020,3,2020-01-11,2020-01-17
"10","Jaffna","307","2","0","2","0","1","61","0","0","6","1","0",2020,3,2020-01-11,2020-01-17
"11","Kilinochchi","15","0","0","0","0","0","1","0","0","0","2","0",2020,3,2020-01-11,2020-01-17
"12","Mannar","29","0","0","0","0","1","0","0","0","0","1","0",2020,3,2020-01-11,2020-01-17
"13","Vavuniya","36","0","0","0","0","4","0","0","0","0","0","0",2020,3,2020-01-11,2020-01-17
"14","Mullaitivu","2","0","0","0","0","0","1","0","0","0","0","0",2020,3,2020-01-11,2020-01-17
"15","Batticaloa","308","4","0","0","0","4","0","0","0","9","2","0",2020,3,2020-01-11,2020-01-17
"16","Ampara","14","1","0","0","0","1","0","0","0","6","3","1",2020,3,2020-01-11,2020-01-17
"17","Trincomalee","433","2","0","0","0","0","0","0","0","4","1","0",2020,3,2020-01-11,2020-01-17
"18","Kurunagala","72","1","0","1","0","1","0","0","0","13","0","7",2020,3,2020-01-11,2020-01-17
"19","Puttalam","87","0","0","0","0","5","0","0","0","1","4","0",2020,3,2020-01-11,2020-01-17
"20","Anuradhapura","39","2","0","0","0","25","1","0","0","6","2","19",2020,3,2020-01-11,2020-01-17
"21","Polonnaruwa","15","0","0","0","0","8","0","0","0","0","0","1",2020,3,2020-01-11,2020-01-17
"22","Badulla","62","1","0","0","0","15","2","1","0","9","1","0",2020,3,2020-01-11,2020-01-17
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,3,2020-01-11,2020-01-17
"24","Ratnapura","90","3","3","0","1","33","1","0","0","6","3","1",2020,3,2020-01-11,2020-01-17
"25","Kegalle","46","0","2","1","0","4","0","0","0","7","2","0",2020,3,2020-01-11,2020-01-17
"26","Kalmune","144","2","1","0","0","1","1","0","0","12","2","0",2020,3,2020-01-11,2020-01-17
