"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","198","0","0","0","3","4","0","0","0","11","0","0",2020,7,2020-02-08,2020-02-14
"2","Gampaha","114","0","0","0","0","10","0","0","0","25","1","3",2020,7,2020-02-08,2020-02-14
"3","Kalutara","66","1","1","1","0","4","0","0","0","11","0","0",2020,7,2020-02-08,2020-02-14
"4","Kandy","73","0","0","0","0","1","2","0","0","6","2","4",2020,7,2020-02-08,2020-02-14
"5","Matale","24","0","0","0","2","1","0","0","0","7","0","15",2020,7,2020-02-08,2020-02-14
"6","NuwaraEliya","9","0","0","0","0","0","0","0","0","3","3","0",2020,7,2020-02-08,2020-02-14
"7","Galle","65","0","1","0","0","7","3","0","0","15","1","0",2020,7,2020-02-08,2020-02-14
"8","Hambanthota","21","1","0","0","1","2","2","0","0","11","0","17",2020,7,2020-02-08,2020-02-14
"9","Matara","34","2","1","0","0","3","0","1","0","10","1","4",2020,7,2020-02-08,2020-02-14
"10","Jaffna","118","5","0","2","3","1","66","0","0","5","0","0",2020,7,2020-02-08,2020-02-14
"11","Kilinochchi","10","0","0","1","0","1","1","0","0","0","0","0",2020,7,2020-02-08,2020-02-14
"12","Mannar","14","0","0","0","0","0","1","0","0","0","0","0",2020,7,2020-02-08,2020-02-14
"13","Vavuniya","23","0","0","1","0","1","0","0","0","3","0","0",2020,7,2020-02-08,2020-02-14
"14","Mullaitivu","1","0","0","1","0","2","0","0","1","0","0","1",2020,7,2020-02-08,2020-02-14
"15","Batticaloa","197","3","0","0","1","0","0","0","0","4","1","0",2020,7,2020-02-08,2020-02-14
"16","Ampara","22","1","0","0","0","0","0","0","0","9","1","1",2020,7,2020-02-08,2020-02-14
"17","Trincomalee","145","2","0","0","0","4","0","0","0","9","2","0",2020,7,2020-02-08,2020-02-14
"18","Kurunagala","43","0","0","0","10","3","2","0","0","19","0","22",2020,7,2020-02-08,2020-02-14
"19","Puttalam","32","1","0","0","0","2","2","0","0","8","2","0",2020,7,2020-02-08,2020-02-14
"20","Anuradhapura","22","0","0","0","16","8","1","0","0","8","0","3",2020,7,2020-02-08,2020-02-14
"21","Polonnaruwa","22","1","0","0","0","10","0","1","0","3","3","11",2020,7,2020-02-08,2020-02-14
"22","Badulla","24","3","0","1","0","6","1","0","0","10","2","0",2020,7,2020-02-08,2020-02-14
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,7,2020-02-08,2020-02-14
"24","Ratnapura","70","9","2","0","1","28","1","1","0","9","4","0",2020,7,2020-02-08,2020-02-14
"25","Kegalle","31","2","0","0","0","7","2","0","0","8","1","2",2020,7,2020-02-08,2020-02-14
"26","Kalmune","63","3","0","0","0","0","0","0","0","10","2","0",2020,7,2020-02-08,2020-02-14
