"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","6","0","0","0","0","1","0","0","0","1","0","0",2020,19,2020-05-02,2020-05-08
"2","Gampaha","10","0","0","0","0","1","0","0","0","3","0","0",2020,19,2020-05-02,2020-05-08
"3","Kalutara","12","0","0","0","0","10","0","0","0","2","0","0",2020,19,2020-05-02,2020-05-08
"4","Kandy","44","0","0","0","0","2","1","0","0","2","1","1",2020,19,2020-05-02,2020-05-08
"5","Matale","4","0","0","0","0","6","0","0","0","2","0","0",2020,19,2020-05-02,2020-05-08
"6","NuwaraEliya","0","0","0","0","0","2","2","0","0","3","0","0",2020,19,2020-05-02,2020-05-08
"7","Galle","6","0","0","0","0","1","1","0","0","1","0","0",2020,19,2020-05-02,2020-05-08
"8","Hambanthota","0","0","0","0","0","1","0","0","0","1","0","0",2020,19,2020-05-02,2020-05-08
"9","Matara","0","0","0","0","0","0","0","0","0","0","0","0",2020,19,2020-05-02,2020-05-08
"10","Jaffna","18","0","0","0","0","1","0","0","0","0","0","0",2020,19,2020-05-02,2020-05-08
"11","Kilinochchi","1","3","0","2","3","0","1","0","0","1","2","0",2020,19,2020-05-02,2020-05-08
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2020,19,2020-05-02,2020-05-08
"13","Vavuniya","0","0","0","0","0","0","0","0","0","0","0","0",2020,19,2020-05-02,2020-05-08
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","1","0",2020,19,2020-05-02,2020-05-08
"15","Batticaloa","14","0","0","0","0","0","0","0","0","0","1","0",2020,19,2020-05-02,2020-05-08
"16","Ampara","0","0","0","0","0","0","0","0","0","3","0","0",2020,19,2020-05-02,2020-05-08
"17","Trincomalee","0","0","0","0","0","3","0","0","0","1","0","0",2020,19,2020-05-02,2020-05-08
"18","Kurunagala","1","0","0","0","0","0","0","0","0","4","0","0",2020,19,2020-05-02,2020-05-08
"19","Puttalam","3","0","0","0","0","0","0","0","0","0","0","0",2020,19,2020-05-02,2020-05-08
"20","Anuradhapura","0","1","0","0","0","2","0","0","0","3","0","0",2020,19,2020-05-02,2020-05-08
"21","Polonnaruwa","1","0","0","0","0","3","0","0","0","2","0","3",2020,19,2020-05-02,2020-05-08
"22","Badulla","1","0","0","0","0","2","2","0","0","0","0","1",2020,19,2020-05-02,2020-05-08
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,19,2020-05-02,2020-05-08
"24","Ratnapura","30","3","0","0","0","71","2","1","0","0","1","0",2020,19,2020-05-02,2020-05-08
"25","Kegalle","13","0","0","0","0","4","1","0","0","0","1","0",2020,19,2020-05-02,2020-05-08
"26","Kalmune","6","1","0","0","0","1","0","0","0","7","0","0",2020,19,2020-05-02,2020-05-08
