"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","44","0","0","1","0","32","1","0","0","6","0","0",2020,38,2020-09-12,2020-09-18
"2","Gampaha","34","0","1","0","0","36","1","0","0","1","2","0",2020,38,2020-09-12,2020-09-18
"3","Kalutara","13","1","0","0","0","61","0","0","0","6","0","0",2020,38,2020-09-12,2020-09-18
"4","Kandy","69","0","0","0","0","8","5","1","0","2","2","6",2020,38,2020-09-12,2020-09-18
"5","Matale","7","1","0","0","0","0","1","2","0","0","0","9",2020,38,2020-09-12,2020-09-18
"6","NuwaraEliya","3","0","0","0","0","2","2","0","0","0","1","0",2020,38,2020-09-12,2020-09-18
"7","Galle","10","2","0","0","0","34","1","1","0","2","3","0",2020,38,2020-09-12,2020-09-18
"8","Hambanthota","2","0","0","0","0","6","2","0","0","1","0","8",2020,38,2020-09-12,2020-09-18
"9","Matara","4","0","0","0","0","10","2","2","0","1","0","3",2020,38,2020-09-12,2020-09-18
"10","Jaffna","19","2","0","0","4","1","7","0","0","2","0","0",2020,38,2020-09-12,2020-09-18
"11","Kilinochchi","0","1","0","0","4","0","1","0","0","3","0","0",2020,38,2020-09-12,2020-09-18
"12","Mannar","0","0","0","0","0","0","0","0","0","0","1","0",2020,38,2020-09-12,2020-09-18
"13","Vavuniya","0","0","0","0","0","0","0","0","0","2","0","0",2020,38,2020-09-12,2020-09-18
"14","Mullaitivu","0","0","0","0","0","0","2","0","0","0","0","0",2020,38,2020-09-12,2020-09-18
"15","Batticaloa","9","2","1","0","1","0","0","0","0","2","2","0",2020,38,2020-09-12,2020-09-18
"16","Ampara","0","1","0","0","0","1","0","0","0","0","0","0",2020,38,2020-09-12,2020-09-18
"17","Trincomalee","0","1","0","0","0","0","0","8","0","0","0","0",2020,38,2020-09-12,2020-09-18
"18","Kurunagala","12","1","0","1","0","15","0","1","0","4","1","17",2020,38,2020-09-12,2020-09-18
"19","Puttalam","0","1","0","0","0","0","0","0","0","1","1","0",2020,38,2020-09-12,2020-09-18
"20","Anuradhapura","3","0","0","0","0","4","0","0","0","0","0","1",2020,38,2020-09-12,2020-09-18
"21","Polonnaruwa","1","0","0","0","0","1","0","0","0","2","1","10",2020,38,2020-09-12,2020-09-18
"22","Badulla","1","3","0","0","0","7","3","0","0","0","0","0",2020,38,2020-09-12,2020-09-18
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,38,2020-09-12,2020-09-18
"24","Ratnapura","17","2","0","0","0","26","2","1","1","0","2","5",2020,38,2020-09-12,2020-09-18
"25","Kegalle","11","0","0","0","0","17","0","4","0","3","1","3",2020,38,2020-09-12,2020-09-18
"26","Kalmune","11","0","0","0","0","1","0","0","0","0","2","0",2020,38,2020-09-12,2020-09-18
