"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","81","4","0","0","1","4","0","0","0","15","0","0",2020,11,2020-03-07,2020-03-13
"2","Gampaha","18","0","0","0","3","1","0","0","0","12","0","0",2020,11,2020-03-07,2020-03-13
"3","Kalutara","32","0","0","0","0","8","1","1","0","10","0","0",2020,11,2020-03-07,2020-03-13
"4","Kandy","41","0","0","0","0","1","1","0","0","12","1","2",2020,11,2020-03-07,2020-03-13
"5","Matale","11","0","0","0","0","0","0","0","0","7","0","11",2020,11,2020-03-07,2020-03-13
"6","NuwaraEliya","4","0","0","0","0","1","3","0","0","3","1","0",2020,11,2020-03-07,2020-03-13
"7","Galle","9","1","1","0","0","2","1","0","0","11","1","0",2020,11,2020-03-07,2020-03-13
"8","Hambanthota","7","0","0","0","26","2","1","0","0","13","1","7",2020,11,2020-03-07,2020-03-13
"9","Matara","2","0","0","0","0","1","0","0","0","2","1","0",2020,11,2020-03-07,2020-03-13
"10","Jaffna","34","5","0","0","1","1","18","0","0","7","1","0",2020,11,2020-03-07,2020-03-13
"11","Kilinochchi","0","1","0","1","0","1","2","0","0","0","0","2",2020,11,2020-03-07,2020-03-13
"12","Mannar","1","0","0","1","0","0","0","0","0","1","0","0",2020,11,2020-03-07,2020-03-13
"13","Vavuniya","9","1","0","0","0","1","0","0","0","0","0","0",2020,11,2020-03-07,2020-03-13
"14","Mullaitivu","0","1","0","0","0","1","1","0","0","0","0","0",2020,11,2020-03-07,2020-03-13
"15","Batticaloa","56","3","2","0","1","1","0","0","0","4","0","0",2020,11,2020-03-07,2020-03-13
"16","Ampara","15","2","0","0","0","0","0","1","0","3","0","0",2020,11,2020-03-07,2020-03-13
"17","Trincomalee","43","0","0","0","0","0","0","0","0","2","0","0",2020,11,2020-03-07,2020-03-13
"18","Kurunagala","17","0","0","0","2","0","0","0","0","11","0","24",2020,11,2020-03-07,2020-03-13
"19","Puttalam","13","0","0","0","0","0","0","0","0","5","4","0",2020,11,2020-03-07,2020-03-13
"20","Anuradhapura","13","0","0","0","0","1","2","0","0","10","2","8",2020,11,2020-03-07,2020-03-13
"21","Polonnaruwa","8","0","0","0","0","4","0","6","0","12","0","4",2020,11,2020-03-07,2020-03-13
"22","Badulla","9","2","0","0","0","10","2","0","0","11","1","0",2020,11,2020-03-07,2020-03-13
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,11,2020-03-07,2020-03-13
"24","Ratnapura","27","0","1","0","0","18","0","0","0","9","0","1",2020,11,2020-03-07,2020-03-13
"25","Kegalle","12","0","0","0","0","1","2","0","0","8","0","0",2020,11,2020-03-07,2020-03-13
"26","Kalmune","10","2","0","0","0","0","0","0","0","25","0","0",2020,11,2020-03-07,2020-03-13
