"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","71","0","0","0","0","5","0","0","0","1","1","0",2020,35,2020-08-22,2020-08-28
"2","Gampaha","50","1","0","0","0","3","0","0","0","7","1","0",2020,35,2020-08-22,2020-08-28
"3","Kalutara","23","1","0","1","2","26","1","0","0","2","1","0",2020,35,2020-08-22,2020-08-28
"4","Kandy","89","0","0","0","0","6","4","0","0","3","0","2",2020,35,2020-08-22,2020-08-28
"5","Matale","8","0","1","0","0","0","0","0","0","1","0","8",2020,35,2020-08-22,2020-08-28
"6","NuwaraEliya","2","1","0","1","0","2","1","0","0","1","0","0",2020,35,2020-08-22,2020-08-28
"7","Galle","9","1","0","0","0","15","0","0","0","4","2","0",2020,35,2020-08-22,2020-08-28
"8","Hambanthota","1","4","0","0","0","4","1","0","0","6","2","35",2020,35,2020-08-22,2020-08-28
"9","Matara","2","2","0","0","0","17","0","1","0","0","0","8",2020,35,2020-08-22,2020-08-28
"10","Jaffna","6","0","0","0","32","0","5","0","1","2","0","0",2020,35,2020-08-22,2020-08-28
"11","Kilinochchi","0","0","0","0","3","1","2","0","0","0","0","0",2020,35,2020-08-22,2020-08-28
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2020,35,2020-08-22,2020-08-28
"13","Vavuniya","0","2","0","1","0","1","0","0","0","0","0","0",2020,35,2020-08-22,2020-08-28
"14","Mullaitivu","1","1","0","0","1","1","1","0","0","0","0","0",2020,35,2020-08-22,2020-08-28
"15","Batticaloa","11","5","0","0","1","2","0","0","0","0","4","0",2020,35,2020-08-22,2020-08-28
"16","Ampara","1","1","0","0","0","1","0","0","0","3","0","0",2020,35,2020-08-22,2020-08-28
"17","Trincomalee","2","0","0","0","0","0","0","0","0","2","0","0",2020,35,2020-08-22,2020-08-28
"18","Kurunagala","14","0","0","0","0","7","1","0","0","2","0","12",2020,35,2020-08-22,2020-08-28
"19","Puttalam","7","0","0","0","0","2","0","0","0","1","6","0",2020,35,2020-08-22,2020-08-28
"20","Anuradhapura","2","0","0","0","0","3","1","0","0","2","3","5",2020,35,2020-08-22,2020-08-28
"21","Polonnaruwa","1","1","0","0","0","1","0","0","0","1","1","19",2020,35,2020-08-22,2020-08-28
"22","Badulla","0","0","0","0","0","12","2","0","0","2","0","0",2020,35,2020-08-22,2020-08-28
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,35,2020-08-22,2020-08-28
"24","Ratnapura","34","4","1","0","1","31","2","0","0","2","2","3",2020,35,2020-08-22,2020-08-28
"25","Kegalle","17","0","0","0","0","17","1","0","0","3","4","0",2020,35,2020-08-22,2020-08-28
"26","Kalmune","7","0","0","0","0","0","0","0","0","2","0","0",2020,35,2020-08-22,2020-08-28
