"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","8","0","0","0","0","5","0","0","0","7","2","0",2020,16,2020-04-11,2020-04-17
"2","Gampaha","2","1","0","0","0","1","0","1","0","1","0","0",2020,16,2020-04-11,2020-04-17
"3","Kalutara","8","0","0","0","0","13","0","0","0","1","0","0",2020,16,2020-04-11,2020-04-17
"4","Kandy","14","0","0","0","0","1","2","0","0","2","0","0",2020,16,2020-04-11,2020-04-17
"5","Matale","3","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"6","NuwaraEliya","0","0","0","0","0","0","0","0","0","1","1","0",2020,16,2020-04-11,2020-04-17
"7","Galle","1","0","0","0","0","0","0","0","0","2","0","0",2020,16,2020-04-11,2020-04-17
"8","Hambanthota","4","0","0","0","0","0","1","0","0","2","0","0",2020,16,2020-04-11,2020-04-17
"9","Matara","0","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"10","Jaffna","4","0","0","0","0","0","2","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"11","Kilinochchi","0","0","0","0","0","0","0","0","0","1","0","0",2020,16,2020-04-11,2020-04-17
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"13","Vavuniya","1","0","0","0","0","1","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"15","Batticaloa","23","0","0","0","0","0","0","0","0","3","0","0",2020,16,2020-04-11,2020-04-17
"16","Ampara","1","0","0","0","0","4","0","0","0","3","2","0",2020,16,2020-04-11,2020-04-17
"17","Trincomalee","7","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"18","Kurunagala","1","0","0","0","0","0","0","0","0","2","0","0",2020,16,2020-04-11,2020-04-17
"19","Puttalam","3","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"20","Anuradhapura","0","0","0","0","0","0","0","0","0","5","0","0",2020,16,2020-04-11,2020-04-17
"21","Polonnaruwa","1","0","0","0","0","0","0","0","1","1","0","8",2020,16,2020-04-11,2020-04-17
"22","Badulla","1","0","0","0","0","3","1","0","0","8","0","0",2020,16,2020-04-11,2020-04-17
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"24","Ratnapura","0","0","0","0","0","3","0","0","0","0","0","0",2020,16,2020-04-11,2020-04-17
"25","Kegalle","3","0","0","0","0","0","0","1","0","7","0","0",2020,16,2020-04-11,2020-04-17
"26","Kalmune","6","0","0","0","0","2","0","0","0","11","0","0",2020,16,2020-04-11,2020-04-17
