"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","40","05","01","02","00","03","00","01",2007,1,2006-12-30,2007-01-05
"2","Gampaha","11","11","00","00","00","00","00","02",2007,1,2006-12-30,2007-01-05
"3","Kalutara","20","04","00","01","01","03","00","01",2007,1,2006-12-30,2007-01-05
"4","Kandy","41","09","00","00","00","01","02","04",2007,1,2006-12-30,2007-01-05
"5","Matale","02","06","00","00","00","01","00","08",2007,1,2006-12-30,2007-01-05
"6","NuwaraEliya","04","06","00","01","00","02","02","06",2007,1,2006-12-30,2007-01-05
"7","Galle","10","05","00","00","00","03","01","00",2007,1,2006-12-30,2007-01-05
"8","Hambanthota","01","00","00","00","01","01","01","00",2007,1,2006-12-30,2007-01-05
"9","Matara","08","08","00","02","00","07","09","00",2007,1,2006-12-30,2007-01-05
"10","Jaffna","00","00","00","00","00","00","00","00",2007,1,2006-12-30,2007-01-05
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,1,2006-12-30,2007-01-05
"12","Mannar","02","02","00","00","00","00","00","00",2007,1,2006-12-30,2007-01-05
"13","Vavuniya","03","03","00","01","00","00","00","00",2007,1,2006-12-30,2007-01-05
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,1,2006-12-30,2007-01-05
"15","Batticaloa","00","00","00","00","00","00","00","01",2007,1,2006-12-30,2007-01-05
"16","Ampara","00","02","00","00","00","00","00","00",2007,1,2006-12-30,2007-01-05
"17","Trincomalee","02","01","00","00","00","00","00","01",2007,1,2006-12-30,2007-01-05
"18","Kurunagala","11","13","00","01","00","02","01","00",2007,1,2006-12-30,2007-01-05
"19","Puttalam","13","04","04","05","00","01","00","03",2007,1,2006-12-30,2007-01-05
"20","Anuradhapura","00","03","01","01","00","03","00","02",2007,1,2006-12-30,2007-01-05
"21","Polonnaruwa","04","06","00","01","00","01","00","00",2007,1,2006-12-30,2007-01-05
"22","Badulla","00","05","00","00","00","00","02","01",2007,1,2006-12-30,2007-01-05
"23","Monaragala","00","11","00","03","00","04","03","00",2007,1,2006-12-30,2007-01-05
"24","Ratnapura","05","14","00","05","00","00","02","00",2007,1,2006-12-30,2007-01-05
"25","Kegalle","04","03","00","00","00","01","00","00",2007,1,2006-12-30,2007-01-05
"26","Kalmune","00","02","00","02","00","00","00","01",2007,1,2006-12-30,2007-01-05
