"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","50","08","00","00","06","03","00","03",2007,38,2007-09-15,2007-09-21
"2","Gampaha","22","00","00","02","00","03","00","01",2007,38,2007-09-15,2007-09-21
"3","Kalutara","14","08","00","00","03","07","00","00",2007,38,2007-09-15,2007-09-21
"4","Kandy","03","03","00","01","01","00","00","22",2007,38,2007-09-15,2007-09-21
"5","Matale","00","07","00","02","00","01","00","01",2007,38,2007-09-15,2007-09-21
"6","NuwaraEliya","00","02","00","00","00","00","00","14",2007,38,2007-09-15,2007-09-21
"7","Galle","01","04","01","00","02","07","01","01",2007,38,2007-09-15,2007-09-21
"8","Hambanthota","04","04","00","01","00","01","02","01",2007,38,2007-09-15,2007-09-21
"9","Matara","08","10","00","01","00","06","03","00",2007,38,2007-09-15,2007-09-21
"10","Jaffna","00","01","00","03","00","00","01","00",2007,38,2007-09-15,2007-09-21
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,38,2007-09-15,2007-09-21
"12","Mannar","00","00","00","00","00","00","00","00",2007,38,2007-09-15,2007-09-21
"13","Vavuniya","00","00","00","00","00","00","00","00",2007,38,2007-09-15,2007-09-21
"14","Mullaitivu","00","00","00","00","00","00","00","02",2007,38,2007-09-15,2007-09-21
"15","Batticaloa","01","01","00","00","00","00","00","44",2007,38,2007-09-15,2007-09-21
"16","Ampara","00","01","00","00","00","00","00","00",2007,38,2007-09-15,2007-09-21
"17","Trincomalee","00","11","00","00","00","00","01","03",2007,38,2007-09-15,2007-09-21
"18","Kurunagala","20","09","00","01","03","07","00","03",2007,38,2007-09-15,2007-09-21
"19","Puttalam","02","08","00","00","00","01","00","01",2007,38,2007-09-15,2007-09-21
"20","Anuradhapura","10","04","00","00","01","01","00","00",2007,38,2007-09-15,2007-09-21
"21","Polonnaruwa","00","03","00","01","00","00","00","01",2007,38,2007-09-15,2007-09-21
"22","Badulla","01","05","00","02","00","01","02","06",2007,38,2007-09-15,2007-09-21
"23","Monaragala","02","03","00","01","03","00","00","01",2007,38,2007-09-15,2007-09-21
"24","Ratnapura","07","04","00","00","02","00","01","00",2007,38,2007-09-15,2007-09-21
"25","Kegalle","15","02","00","02","00","02","01","06",2007,38,2007-09-15,2007-09-21
"26","Kalmune","0","07","00","00","01","00","00","02",2007,38,2007-09-15,2007-09-21
