"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","380","0","0","0","1","2","0","0","0","12","2","0",2018,29,2018-07-14,2018-07-20
"2","Gampaha","225","6","1","1","0","3","0","0","0","6","2","1",2018,29,2018-07-14,2018-07-20
"3","Kalutara","85","2","0","0","1","13","0","0","0","16","2","0",2018,29,2018-07-14,2018-07-20
"4","Kandy","151","3","0","0","0","2","1","0","0","5","4","0",2018,29,2018-07-14,2018-07-20
"5","Matale","37","0","0","2","0","1","0","0","0","1","0","4",2018,29,2018-07-14,2018-07-20
"6","NuwaraEliya","10","0","0","0","0","1","0","0","0","11","1","0",2018,29,2018-07-14,2018-07-20
"7","Galle","23","2","1","0","0","7","5","0","0","8","4","0",2018,29,2018-07-14,2018-07-20
"8","Hambanthota","17","0","0","0","0","0","4","0","0","2","1","8",2018,29,2018-07-14,2018-07-20
"9","Matara","35","0","0","0","0","7","1","0","0","3","0","10",2018,29,2018-07-14,2018-07-20
"10","Jaffna","85","2","1","0","2","0","6","0","0","6","0","0",2018,29,2018-07-14,2018-07-20
"11","Kilinochchi","9","1","0","2","0","0","0","0","0","0","0","0",2018,29,2018-07-14,2018-07-20
"12","Mannar","34","0","0","0","0","0","0","0","0","0","0","1",2018,29,2018-07-14,2018-07-20
"13","Vavuniya","22","1","0","1","0","2","0","0","0","0","0","1",2018,29,2018-07-14,2018-07-20
"14","Mullaitivu","4","0","0","0","0","0","0","0","0","0","0","0",2018,29,2018-07-14,2018-07-20
"15","Batticaloa","77","1","0","0","0","0","0","0","0","3","2","0",2018,29,2018-07-14,2018-07-20
"16","Ampara","8","2","0","0","0","0","0","0","0","5","1","0",2018,29,2018-07-14,2018-07-20
"17","Trincomalee","43","0","0","0","0","1","0","0","0","2","0","0",2018,29,2018-07-14,2018-07-20
"18","Kurunagala","60","0","1","1","0","3","0","1","0","7","3","7",2018,29,2018-07-14,2018-07-20
"19","Puttalam","27","0","0","0","0","0","0","0","0","5","2","0",2018,29,2018-07-14,2018-07-20
"20","Anuradhapura","29","1","1","0","0","5","0","1","0","11","2","6",2018,29,2018-07-14,2018-07-20
"21","Polonnaruwa","5","1","0","0","0","2","0","0","0","4","0","2",2018,29,2018-07-14,2018-07-20
"22","Badulla","21","2","0","0","0","4","1","1","0","2","1","1",2018,29,2018-07-14,2018-07-20
"23","Monaragala","16","1","0","0","0","5","1","1","0","4","2","1",2018,29,2018-07-14,2018-07-20
"24","Ratnapura","67","1","1","0","0","26","0","0","0","5","4","3",2018,29,2018-07-14,2018-07-20
"25","Kegalle","53","0","0","0","0","5","1","0","0","7","1","0",2018,29,2018-07-14,2018-07-20
"26","Kalmune","28","3","1","1","1","0","0","0","0","6","0","0",2018,29,2018-07-14,2018-07-20
