"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","85","5","0","0","4","16","0","0","0",2010,21,2010-05-22,2010-05-28
"2","Gampaha","24","3","0","0","0","1","0","1","0",2010,21,2010-05-22,2010-05-28
"3","Kalutara","64","4","0","2","0","3","0","2","0",2010,21,2010-05-22,2010-05-28
"4","Kandy","38","2","0","0","0","2","1","0","0",2010,21,2010-05-22,2010-05-28
"5","Matale","10","2","0","0","0","1","0","0","0",2010,21,2010-05-22,2010-05-28
"6","NuwaraEliya","6","14","0","3","0","2","0","0","0",2010,21,2010-05-22,2010-05-28
"7","Galle","19","10","0","0","0","1","0","0","0",2010,21,2010-05-22,2010-05-28
"8","Hambanthota","5","0","0","0","0","0","2","0","0",2010,21,2010-05-22,2010-05-28
"9","Matara","5","8","2","0","0","14","1","0","0",2010,21,2010-05-22,2010-05-28
"10","Jaffna","10","3","0","1","0","0","1","0","0",2010,21,2010-05-22,2010-05-28
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2010,21,2010-05-22,2010-05-28
"12","Mannar","0","0","0","0","1","0","0","0","0",2010,21,2010-05-22,2010-05-28
"13","Vavuniya","2","1","0","0","0","0","0","0","0",2010,21,2010-05-22,2010-05-28
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2010,21,2010-05-22,2010-05-28
"15","Batticaloa","12","5","0","0","0","2","0","0","0",2010,21,2010-05-22,2010-05-28
"16","Ampara","1","0","0","0","0","0","0","0","0",2010,21,2010-05-22,2010-05-28
"17","Trincomalee","3","0","10","0","0","0","0","0","0",2010,21,2010-05-22,2010-05-28
"18","Kurunagala","19","12","0","0","0","9","1","1","0",2010,21,2010-05-22,2010-05-28
"19","Puttalam","7","1","0","0","0","0","0","1","0",2010,21,2010-05-22,2010-05-28
"20","Anuradhapura","5","0","0","0","0","2","1","1","0",2010,21,2010-05-22,2010-05-28
"21","Polonnaruwa","18","1","0","0","0","1","0","1","0",2010,21,2010-05-22,2010-05-28
"22","Badulla","10","5","0","1","0","2","0","1","0",2010,21,2010-05-22,2010-05-28
"23","Monaragala","8","2","0","0","0","0","0","1","0",2010,21,2010-05-22,2010-05-28
"24","Ratnapura","56","5","0","0","0","3","0","4","1",2010,21,2010-05-22,2010-05-28
"25","Kegalle","5","3","0","0","0","1","0","1","0",2010,21,2010-05-22,2010-05-28
"26","Kalmune","2","6","0","0","0","0","0","0","0",2010,21,2010-05-22,2010-05-28
