"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","36","03","00","00","03","05","00","05",2007,28,2007-07-07,2007-07-13
"2","Gampaha","04","09","00","02","07","02","00","08",2007,28,2007-07-07,2007-07-13
"3","Kalutara","06","14","00","02","01","03","00","02",2007,28,2007-07-07,2007-07-13
"4","Kandy","14","08","00","00","00","00","01","58",2007,28,2007-07-07,2007-07-13
"5","Matale","03","02","00","01","03","02","00","01",2007,28,2007-07-07,2007-07-13
"6","NuwaraEliya","02","07","00","02","00","00","00","33",2007,28,2007-07-07,2007-07-13
"7","Galle","02","03","01","00","00","01","00","00",2007,28,2007-07-07,2007-07-13
"8","Hambanthota","03","12","00","00","00","01","01","02",2007,28,2007-07-07,2007-07-13
"9","Matara","03","06","00","00","00","01","02","00",2007,28,2007-07-07,2007-07-13
"10","Jaffna","00","00","00","00","00","00","00","00",2007,28,2007-07-07,2007-07-13
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,28,2007-07-07,2007-07-13
"12","Mannar","00","00","00","01","00","00","00","02",2007,28,2007-07-07,2007-07-13
"13","Vavuniya","00","00","00","00","23","00","00","00",2007,28,2007-07-07,2007-07-13
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,28,2007-07-07,2007-07-13
"15","Batticaloa","00","04","00","00","00","00","00","21",2007,28,2007-07-07,2007-07-13
"16","Ampara","00","00","00","00","00","00","00","00",2007,28,2007-07-07,2007-07-13
"17","Trincomalee","04","00","00","00","00","01","01","00",2007,28,2007-07-07,2007-07-13
"18","Kurunagala","25","16","00","02","02","02","01","03",2007,28,2007-07-07,2007-07-13
"19","Puttalam","02","10","00","00","00","00","00","00",2007,28,2007-07-07,2007-07-13
"20","Anuradhapura","08","01","00","00","00","00","00","01",2007,28,2007-07-07,2007-07-13
"21","Polonnaruwa","00","02","00","00","00","00","00","00",2007,28,2007-07-07,2007-07-13
"22","Badulla","01","20","00","01","01","01","04","13",2007,28,2007-07-07,2007-07-13
"23","Monaragala","00","12","00","00","00","01","01","00",2007,28,2007-07-07,2007-07-13
"24","Ratnapura","12","14","00","01","01","00","00","02",2007,28,2007-07-07,2007-07-13
"25","Kegalle","04","08","00","02","02","01","01","10",2007,28,2007-07-07,2007-07-13
"26","Kalmune","00","04","00","00","01","00","00","02",2007,28,2007-07-07,2007-07-13
