"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","257","6","0","0","1","6","0","0","0",2010,28,2010-07-10,2010-07-16
"2","Gampaha","93","11","2","1","1","2","0","0","0",2010,28,2010-07-10,2010-07-16
"3","Kalutara","35","4","0","1","0","0","0","2","0",2010,28,2010-07-10,2010-07-16
"4","Kandy","38","7","0","2","0","3","4","4","0",2010,28,2010-07-10,2010-07-16
"5","Matale","13","3","0","0","0","0","0","1","0",2010,28,2010-07-10,2010-07-16
"6","NuwaraEliya","6","10","0","1","0","0","1","1","0",2010,28,2010-07-10,2010-07-16
"7","Galle","29","4","0","0","0","3","2","0","0",2010,28,2010-07-10,2010-07-16
"8","Hambanthota","24","1","0","0","0","0","0","1","0",2010,28,2010-07-10,2010-07-16
"9","Matara","39","4","0","0","0","2","5","0","0",2010,28,2010-07-10,2010-07-16
"10","Jaffna","32","9","0","9","1","0","0","0","0",2010,28,2010-07-10,2010-07-16
"11","Kilinochchi","0","0","0","1","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"12","Mannar","16","2","0","0","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"13","Vavuniya","2","0","0","0","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"15","Batticaloa","9","7","0","0","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"16","Ampara","5","6","0","0","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"17","Trincomalee","11","0","0","0","0","0","1","0","0",2010,28,2010-07-10,2010-07-16
"18","Kurunagala","82","13","1","2","0","6","2","3","0",2010,28,2010-07-10,2010-07-16
"19","Puttalam","26","10","0","0","0","0","0","0","0",2010,28,2010-07-10,2010-07-16
"20","Anuradhapura","10","2","1","0","0","2","0","2","0",2010,28,2010-07-10,2010-07-16
"21","Polonnaruwa","18","4","0","1","0","2","0","0","0",2010,28,2010-07-10,2010-07-16
"22","Badulla","47","4","0","3","3","1","7","4","0",2010,28,2010-07-10,2010-07-16
"23","Monaragala","58","1","0","0","0","0","5","0","00",2010,28,2010-07-10,2010-07-16
"24","Ratnapura","63","1","0","0","0","4","0","0","0",2010,28,2010-07-10,2010-07-16
"25","Kegalle","23","2","1","3","0","8","2","0","0",2010,28,2010-07-10,2010-07-16
"26","Kalmune","0","4","0","0","0","0","0","1","0",2010,28,2010-07-10,2010-07-16
