"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","293","3","0","0","0","2","0","1","0","1","0","0",2016,28,2016-07-02,2016-07-08
"2","Gampaha","30","0","0","0","0","1","0","0","0","1","0","0",2016,28,2016-07-02,2016-07-08
"3","Kalutara","102","0","1","0","0","0","1","0","0","6","2","0",2016,28,2016-07-02,2016-07-08
"4","Kandy","139","1","0","0","1","2","0","0","0","1","1","0",2016,28,2016-07-02,2016-07-08
"5","Matale","31","2","0","0","0","0","0","0","0","0","0","0",2016,28,2016-07-02,2016-07-08
"6","NuwaraEliya","18","3","0","2","0","1","1","0","0","1","3","0",2016,28,2016-07-02,2016-07-08
"7","Galle","31","6","0","0","0","2","0","0","0","3","0","0",2016,28,2016-07-02,2016-07-08
"8","Hambanthota","30","1","0","0","0","1","0","0","0","2","0","1",2016,28,2016-07-02,2016-07-08
"9","Matara","48","2","0","1","0","2","0","2","0","3","4","1",2016,28,2016-07-02,2016-07-08
"10","Jaffna","52","4","0","1","0","0","8","0","0","6","2","0",2016,28,2016-07-02,2016-07-08
"11","Kilinochchi","0","1","0","0","0","0","1","0","0","0","0","0",2016,28,2016-07-02,2016-07-08
"12","Mannar","1","0","0","0","0","0","0","0","0","0","0","0",2016,28,2016-07-02,2016-07-08
"13","Vavuniya","6","0","0","7","0","0","1","0","0","0","1","0",2016,28,2016-07-02,2016-07-08
"14","Mullaitivu","4","0","0","1","0","1","0","0","0","1","0","0",2016,28,2016-07-02,2016-07-08
"15","Batticaloa","2","3","0","0","0","0","1","0","0","0","0","0",2016,28,2016-07-02,2016-07-08
"16","Ampara","1","0","0","0","0","0","0","0","0","0","0","0",2016,28,2016-07-02,2016-07-08
"17","Trincomalee","1","2","1","0","0","0","0","0","0","1","0","0",2016,28,2016-07-02,2016-07-08
"18","Kurunagala","87","7","0","0","0","3","1","0","0","3","1","0",2016,28,2016-07-02,2016-07-08
"19","Puttalam","13","5","1","0","0","0","0","0","0","3","2","0",2016,28,2016-07-02,2016-07-08
"20","Anuradhapura","4","0","0","0","0","3","0","0","0","1","1","1",2016,28,2016-07-02,2016-07-08
"21","Polonnaruwa","19","2","0","0","0","0","0","0","0","1","1","1",2016,28,2016-07-02,2016-07-08
"22","Badulla","34","1","0","1","0","3","5","1","0","1","3","1",2016,28,2016-07-02,2016-07-08
"23","Monaragala","12","1","0","0","0","2","3","1","0","0","1","0",2016,28,2016-07-02,2016-07-08
"24","Ratnapura","72","4","0","0","0","6","1","1","0","2","1","0",2016,28,2016-07-02,2016-07-08
"25","Kegalle","35","3","1","1","1","1","2","0","0","9","0","0",2016,28,2016-07-02,2016-07-08
"26","Kalmune","1","4","0","0","0","0","0","0","0","0","1","0",2016,28,2016-07-02,2016-07-08
