"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","10","01","00","02","00","09","00","01",2007,16,2007-04-14,2007-04-20
"2","Gampaha","08","06","00","02","00","07","00","03",2007,16,2007-04-14,2007-04-20
"3","Kalutara","01","03","00","00","00","02","00","00",2007,16,2007-04-14,2007-04-20
"4","Kandy","01","09","00","00","00","02","00","04",2007,16,2007-04-14,2007-04-20
"5","Matale","00","00","00","00","00","01","00","03",2007,16,2007-04-14,2007-04-20
"6","NuwaraEliya","00","07","00","04","00","00","00","02",2007,16,2007-04-14,2007-04-20
"7","Galle","00","04","00","00","00","05","00","00",2007,16,2007-04-14,2007-04-20
"8","Hambanthota","02","00","00","00","00","01","00","00",2007,16,2007-04-14,2007-04-20
"9","Matara","00","05","01","00","03","05","01","00",2007,16,2007-04-14,2007-04-20
"10","Jaffna","00","00","00","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"12","Mannar","00","00","00","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"13","Vavuniya","00","01","00","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"14","Mullaitivu","00","00","00","02","00","00","00","00",2007,16,2007-04-14,2007-04-20
"15","Batticaloa","05","11","00","00","00","00","00","05",2007,16,2007-04-14,2007-04-20
"16","Ampara","00","00","00","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"17","Trincomalee","03","05","00","00","04","00","00","04",2007,16,2007-04-14,2007-04-20
"18","Kurunagala","02","07","00","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"19","Puttalam","01","00","00","01","00","04","00","00",2007,16,2007-04-14,2007-04-20
"20","Anuradhapura","01","01","00","01","00","00","00","01",2007,16,2007-04-14,2007-04-20
"21","Polonnaruwa","06","00","00","01","00","01","00","03",2007,16,2007-04-14,2007-04-20
"22","Badulla","00","07","00","01","00","02","05","03",2007,16,2007-04-14,2007-04-20
"23","Monaragala","00","09","00","00","00","00","02","00",2007,16,2007-04-14,2007-04-20
"24","Ratnapura","03","07","00","00","00","00","00","02",2007,16,2007-04-14,2007-04-20
"25","Kegalle","02","12","01","00","00","00","00","00",2007,16,2007-04-14,2007-04-20
"26","Kalmune","00","04","00","00","00","00","00","01",2007,16,2007-04-14,2007-04-20
