"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","32","07","01","04","01","14","00","02","00",2008,33,2008-08-09,2008-08-15
"2","Gampaha","18","07","00","02","27","22","00","04","01",2008,33,2008-08-09,2008-08-15
"3","Kalutara","07","01","01","00","00","08","00","00","00",2008,33,2008-08-09,2008-08-15
"4","Kandy","08","06","00","01","00","05","04","01","00",2008,33,2008-08-09,2008-08-15
"5","Matale","02","03","00","00","00","04","00","01","00",2008,33,2008-08-09,2008-08-15
"6","NuwaraEliya","00","02","00","01","48","03","00","00","00",2008,33,2008-08-09,2008-08-15
"7","Galle","02","03","00","00","00","05","00","00","00",2008,33,2008-08-09,2008-08-15
"8","Hambanthota","02","02","00","00","00","03","01","03","00",2008,33,2008-08-09,2008-08-15
"9","Matara","07","03","00","02","00","08","04","00","00",2008,33,2008-08-09,2008-08-15
"10","Jaffna","00","02","00","03","00","00","02","02","00",2008,33,2008-08-09,2008-08-15
"11","Kilinochchi","00","00","00","00","00","00","00","00","00",2008,33,2008-08-09,2008-08-15
"12","Mannar","00","00","00","06","00","00","00","00","00",2008,33,2008-08-09,2008-08-15
"13","Vavuniya","00","02","00","01","00","00","00","01","00",2008,33,2008-08-09,2008-08-15
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2008,33,2008-08-09,2008-08-15
"15","Batticaloa","00","01","01","00","00","01","00","00","00",2008,33,2008-08-09,2008-08-15
"16","Ampara","00","01","00","00","00","00","00","00","00",2008,33,2008-08-09,2008-08-15
"17","Trincomalee","01","00","00","01","00","00","01","00","00",2008,33,2008-08-09,2008-08-15
"18","Kurunagala","03","04","01","02","00","40","00","00","00",2008,33,2008-08-09,2008-08-15
"19","Puttalam","01","02","00","03","00","02","00","00","00",2008,33,2008-08-09,2008-08-15
"20","Anuradhapura","00","00","00","01","00","01","00","00","00",2008,33,2008-08-09,2008-08-15
"21","Polonnaruwa","00","00","00","00","00","00","00","00","00",2008,33,2008-08-09,2008-08-15
"22","Badulla","02","05","00","00","00","00","01","05","00",2008,33,2008-08-09,2008-08-15
"23","Monaragala","00","02","00","00","00","01","00","05","00",2008,33,2008-08-09,2008-08-15
"24","Ratnapura","04","03","00","00","00","01","00","00","00",2008,33,2008-08-09,2008-08-15
"25","Kegalle","08","02","00","02","00","16","03","05","00",2008,33,2008-08-09,2008-08-15
"26","Kalmune","01","01","00","00","00","00","00","00","00",2008,33,2008-08-09,2008-08-15
