"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","14","2","0","5","0","5","0","0","0",2010,48,2010-11-27,2010-12-03
"2","Gampaha","16","4","1","2","0","17","0","0","0",2010,48,2010-11-27,2010-12-03
"3","Kalutara","4","2","0","0","0","11","0","0","0",2010,48,2010-11-27,2010-12-03
"4","Kandy","5","3","0","1","0","4","0","2","0",2010,48,2010-11-27,2010-12-03
"5","Matale","13","10","0","0","0","6","0","0","0",2010,48,2010-11-27,2010-12-03
"6","NuwaraEliya","0","3","0","2","0","0","1","0","0",2010,48,2010-11-27,2010-12-03
"7","Galle","1","1","1","0","0","10","2","0","0",2010,48,2010-11-27,2010-12-03
"8","Hambanthota","0","5","0","0","1","2","1","1","0",2010,48,2010-11-27,2010-12-03
"9","Matara","5","2","1","0","0","6","1","0","0",2010,48,2010-11-27,2010-12-03
"10","Jaffna","4","2","0","5","0","0","2","7","0",2010,48,2010-11-27,2010-12-03
"11","Kilinochchi","1","0","0","0","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
"12","Mannar","1","0","0","1","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
"13","Vavuniya","0","1","0","0","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
"14","Mullaitivu","0","0","0","0","0","0","0","0","1",2010,48,2010-11-27,2010-12-03
"15","Batticaloa","12","2","0","1","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
"16","Ampara","0","0","0","0","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
"17","Trincomalee","9","4","0","0","0","3","0","1","0",2010,48,2010-11-27,2010-12-03
"18","Kurunagala","6","18","0","4","0","9","0","0","0",2010,48,2010-11-27,2010-12-03
"19","Puttalam","4","5","0","0","0","0","3","0","0",2010,48,2010-11-27,2010-12-03
"20","Anuradhapura","9","4","0","0","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
"21","Polonnaruwa","0","2","0","0","0","4","0","0","0",2010,48,2010-11-27,2010-12-03
"22","Badulla","6","1","0","2","0","0","1","0","0",2010,48,2010-11-27,2010-12-03
"23","Monaragala","1","0","1","1","0","3","0","2","0",2010,48,2010-11-27,2010-12-03
"24","Ratnapura","5","1","0","0","0","3","0","0","0",2010,48,2010-11-27,2010-12-03
"25","Kegalle","1","3","0","1","0","20","0","3","0",2010,48,2010-11-27,2010-12-03
"26","Kalmune","0","3","0","1","0","0","0","0","0",2010,48,2010-11-27,2010-12-03
