"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","23","05","00","01","00","00","00","07",2007,31,2007-07-28,2007-08-03
"2","Gampaha","04","07","00","00","00","00","02","04",2007,31,2007-07-28,2007-08-03
"3","Kalutara","04","06","00","00","03","04","00","00",2007,31,2007-07-28,2007-08-03
"4","Kandy","08","04","00","01","00","02","00","55",2007,31,2007-07-28,2007-08-03
"5","Matale","03","03","00","01","00","01","00","04",2007,31,2007-07-28,2007-08-03
"6","NuwaraEliya","01","01","00","02","00","00","01","19",2007,31,2007-07-28,2007-08-03
"7","Galle","02","02","00","01","03","00","02","00",2007,31,2007-07-28,2007-08-03
"8","Hambanthota","01","07","00","01","00","00","00","00",2007,31,2007-07-28,2007-08-03
"9","Matara","03","07","00","00","01","00","01","00",2007,31,2007-07-28,2007-08-03
"10","Jaffna","00","00","00","00","00","00","00","00",2007,31,2007-07-28,2007-08-03
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,31,2007-07-28,2007-08-03
"12","Mannar","00","00","00","01","00","00","00","00",2007,31,2007-07-28,2007-08-03
"13","Vavuniya","00","00","00","00","00","00","00","00",2007,31,2007-07-28,2007-08-03
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,31,2007-07-28,2007-08-03
"15","Batticaloa","00","06","00","00","00","00","00","15",2007,31,2007-07-28,2007-08-03
"16","Ampara","00","00","00","00","00","00","00","01",2007,31,2007-07-28,2007-08-03
"17","Trincomalee","01","07","00","01","00","00","00","04",2007,31,2007-07-28,2007-08-03
"18","Kurunagala","18","03","00","02","00","00","00","05",2007,31,2007-07-28,2007-08-03
"19","Puttalam","02","02","00","01","00","01","00","01",2007,31,2007-07-28,2007-08-03
"20","Anuradhapura","05","04","00","00","00","00","00","01",2007,31,2007-07-28,2007-08-03
"21","Polonnaruwa","00","00","00","01","00","00","00","02",2007,31,2007-07-28,2007-08-03
"22","Badulla","01","03","00","03","00","00","00","12",2007,31,2007-07-28,2007-08-03
"23","Monaragala","02","05","00","01","00","00","01","02",2007,31,2007-07-28,2007-08-03
"24","Ratnapura","14","12","00","00","07","01","02","04",2007,31,2007-07-28,2007-08-03
"25","Kegalle","05","02","01","02","00","01","02","06",2007,31,2007-07-28,2007-08-03
"26","Kalmune","0","04","00","01","00","00","00","00",2007,31,2007-07-28,2007-08-03
