"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","44","05","00","04","04","05","00","06",2007,51,2007-12-15,2007-12-21
"2","Gampaha","31","03","01","00","03","05","00","02",2007,51,2007-12-15,2007-12-21
"3","Kalutara","10","05","01","02","00","03","01","00",2007,51,2007-12-15,2007-12-21
"4","Kandy","04","06","02","02","01","10","03","02",2007,51,2007-12-15,2007-12-21
"5","Matale","01","05","00","02","00","07","00","01",2007,51,2007-12-15,2007-12-21
"6","NuwaraEliya","01","00","00","01","01","00","00","06",2007,51,2007-12-15,2007-12-21
"7","Galle","03","03","01","00","00","18","00","00",2007,51,2007-12-15,2007-12-21
"8","Hambanthota","02","07","00","01","00","05","04","00",2007,51,2007-12-15,2007-12-21
"9","Matara","04","02","00","02","01","07","05","00",2007,51,2007-12-15,2007-12-21
"10","Jaffna","02","01","00","01","00","00","08","00",2007,51,2007-12-15,2007-12-21
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,51,2007-12-15,2007-12-21
"12","Mannar","00","00","00","06","00","00","00","01",2007,51,2007-12-15,2007-12-21
"13","Vavuniya","00","01","00","00","00","00","00","00",2007,51,2007-12-15,2007-12-21
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,51,2007-12-15,2007-12-21
"15","Batticaloa","01","01","00","00","00","00","00","03",2007,51,2007-12-15,2007-12-21
"16","Ampara","00","06","00","00","00","00","01","00",2007,51,2007-12-15,2007-12-21
"17","Trincomalee","01","06","00","00","00","00","00","00",2007,51,2007-12-15,2007-12-21
"18","Kurunagala","21","12","01","04","00","01","05","01",2007,51,2007-12-15,2007-12-21
"19","Puttalam","54","07","00","00","00","00","00","01",2007,51,2007-12-15,2007-12-21
"20","Anuradhapura","18","00","00","00","00","01","00","02",2007,51,2007-12-15,2007-12-21
"21","Polonnaruwa","02","06","00","00","00","00","00","01",2007,51,2007-12-15,2007-12-21
"22","Badulla","03","08","01","02","00","03","00","05",2007,51,2007-12-15,2007-12-21
"23","Monaragala","03","07","00","01","02","05","03","01",2007,51,2007-12-15,2007-12-21
"24","Ratnapura","07","01","00","02","00","00","00","00",2007,51,2007-12-15,2007-12-21
"25","Kegalle","09","03","00","02","01","09","01","04",2007,51,2007-12-15,2007-12-21
"26","Kalmune","00","04","00","00","00","00","00","00",2007,51,2007-12-15,2007-12-21
