"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","44","01","00","04","00","01","00","00",2007,45,2007-11-03,2007-11-09
"2","Gampaha","30","03","00","01","04","31","00","04",2007,45,2007-11-03,2007-11-09
"3","Kalutara","17","19","00","02","00","10","00","02",2007,45,2007-11-03,2007-11-09
"4","Kandy","06","13","00","00","01","03","00","11",2007,45,2007-11-03,2007-11-09
"5","Matale","01","11","00","02","00","07","00","00",2007,45,2007-11-03,2007-11-09
"6","NuwaraEliya","00","02","00","01","00","00","00","10",2007,45,2007-11-03,2007-11-09
"7","Galle","00","02","00","01","00","02","00","01",2007,45,2007-11-03,2007-11-09
"8","Hambanthota","04","05","00","00","00","01","01","00",2007,45,2007-11-03,2007-11-09
"9","Matara","08","01","00","00","00","05","01","01",2007,45,2007-11-03,2007-11-09
"10","Jaffna","11","00","00","02","01","00","02","00",2007,45,2007-11-03,2007-11-09
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,45,2007-11-03,2007-11-09
"12","Mannar","00","00","00","02","00","00","00","02",2007,45,2007-11-03,2007-11-09
"13","Vavuniya","00","03","00","01","02","01","00","00",2007,45,2007-11-03,2007-11-09
"14","Mullaitivu","00","01","00","00","00","00","00","00",2007,45,2007-11-03,2007-11-09
"15","Batticaloa","00","02","00","00","00","00","00","10",2007,45,2007-11-03,2007-11-09
"16","Ampara","01","02","00","00","00","00","00","00",2007,45,2007-11-03,2007-11-09
"17","Trincomalee","00","05","00","02","00","00","01","00",2007,45,2007-11-03,2007-11-09
"18","Kurunagala","12","06","00","02","00","04","00","04",2007,45,2007-11-03,2007-11-09
"19","Puttalam","09","12","00","00","00","00","00","01",2007,45,2007-11-03,2007-11-09
"20","Anuradhapura","07","04","01","00","00","00","00","00",2007,45,2007-11-03,2007-11-09
"21","Polonnaruwa","01","06","00","00","00","00","00","00",2007,45,2007-11-03,2007-11-09
"22","Badulla","03","08","00","01","01","00","01","05",2007,45,2007-11-03,2007-11-09
"23","Monaragala","02","05","00","02","01","00","01","00",2007,45,2007-11-03,2007-11-09
"24","Ratnapura","03","09","00","01","00","03","00","01",2007,45,2007-11-03,2007-11-09
"25","Kegalle","17","07","00","02","00","21","01","13",2007,45,2007-11-03,2007-11-09
"26","Kalmune","0","01","00","00","00","00","00","02",2007,45,2007-11-03,2007-11-09
