"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","35","10","0","11","0","24","0","2","0",2010,49,2010-12-04,2010-12-10
"2","Gampaha","11","9","0","0","3","13","0","4","0",2010,49,2010-12-04,2010-12-10
"3","Kalutara","5","7","0","0","1","6","0","0","0",2010,49,2010-12-04,2010-12-10
"4","Kandy","1","14","0","0","0","8","4","2","0",2010,49,2010-12-04,2010-12-10
"5","Matale","8","2","0","0","0","16","0","0","0",2010,49,2010-12-04,2010-12-10
"6","NuwaraEliya","1","3","0","0","0","1","0","0","0",2010,49,2010-12-04,2010-12-10
"7","Galle","1","1","1","0","0","7","1","2","0",2010,49,2010-12-04,2010-12-10
"8","Hambanthota","4","0","0","0","0","4","0","0","0",2010,49,2010-12-04,2010-12-10
"9","Matara","0","3","0","1","0","4","0","0","1",2010,49,2010-12-04,2010-12-10
"10","Jaffna","20","1","1","10","0","0","6","1","0",2010,49,2010-12-04,2010-12-10
"11","Kilinochchi","1","3","0","1","0","0","0","0","0",2010,49,2010-12-04,2010-12-10
"12","Mannar","0","0","0","1","0","1","0","1","0",2010,49,2010-12-04,2010-12-10
"13","Vavuniya","0","1","0","0","0","0","0","0","0",2010,49,2010-12-04,2010-12-10
"14","Mullaitivu","0","0","0","1","0","0","0","0","0",2010,49,2010-12-04,2010-12-10
"15","Batticaloa","4","5","1","0","1","0","0","0","0",2010,49,2010-12-04,2010-12-10
"16","Ampara","5","0","0","0","0","0","0","0","0",2010,49,2010-12-04,2010-12-10
"17","Trincomalee","2","2","0","0","0","0","0","1","1",2010,49,2010-12-04,2010-12-10
"18","Kurunagala","5","9","0","4","0","5","0","0","0",2010,49,2010-12-04,2010-12-10
"19","Puttalam","1","16","0","0","1","0","2","0","0",2010,49,2010-12-04,2010-12-10
"20","Anuradhapura","7","6","0","0","0","6","2","1","0",2010,49,2010-12-04,2010-12-10
"21","Polonnaruwa","2","2","0","0","0","2","0","0","0",2010,49,2010-12-04,2010-12-10
"22","Badulla","8","4","0","4","4","0","2","0","0",2010,49,2010-12-04,2010-12-10
"23","Monaragala","4","0","0","1","3","5","3","1","0",2010,49,2010-12-04,2010-12-10
"24","Ratnapura","6","4","0","1","0","2","0","0","0",2010,49,2010-12-04,2010-12-10
"25","Kegalle","9","2","0","1","0","12","1","0","0",2010,49,2010-12-04,2010-12-10
"26","Kalmune","1","5","0","0","0","0","0","0","0",2010,49,2010-12-04,2010-12-10
