"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","97","1","0","4","0","0","1","3","0",2011,34,2011-08-20,2011-08-26
"2","Gampaha","70","1","0","1","0","5","0","4","0",2011,34,2011-08-20,2011-08-26
"3","Kalutara","12","0","0","1","0","3","0","0","0",2011,34,2011-08-20,2011-08-26
"4","Kandy","36","5","0","1","1","3","2","0","0",2011,34,2011-08-20,2011-08-26
"5","Matale","10","2","0","1","0","0","0","0","0",2011,34,2011-08-20,2011-08-26
"6","NuwaraEliya","3","2","0","2","0","0","0","1","0",2011,34,2011-08-20,2011-08-26
"7","Galle","23","2","0","0","0","2","1","0","0",2011,34,2011-08-20,2011-08-26
"8","Hambanthota","2","2","0","0","1","4","3","2","0",2011,34,2011-08-20,2011-08-26
"9","Matara","11","1","0","0","0","5","3","0","0",2011,34,2011-08-20,2011-08-26
"10","Jaffna","7","3","0","4","0","0","1","2","0",2011,34,2011-08-20,2011-08-26
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2011,34,2011-08-20,2011-08-26
"12","Mannar","0","1","0","2","0","1","0","0","0",2011,34,2011-08-20,2011-08-26
"13","Vavuniya","0","0","0","0","0","1","0","0","0",2011,34,2011-08-20,2011-08-26
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2011,34,2011-08-20,2011-08-26
"15","Batticaloa","7","2","0","0","0","0","0","0","0",2011,34,2011-08-20,2011-08-26
"16","Ampara","2","3","0","0","0","0","0","0","1",2011,34,2011-08-20,2011-08-26
"17","Trincomalee","2","7","0","0","0","0","0","0","0",2011,34,2011-08-20,2011-08-26
"18","Kurunagala","19","3","2","2","0","3","0","2","0",2011,34,2011-08-20,2011-08-26
"19","Puttalam","3","7","0","1","0","1","0","0","0",2011,34,2011-08-20,2011-08-26
"20","Anuradhapura","10","0","0","0","0","1","0","0","0",2011,34,2011-08-20,2011-08-26
"21","Polonnaruwa","0","2","0","0","0","0","0","0","0",2011,34,2011-08-20,2011-08-26
"22","Badulla","7","4","0","1","0","2","0","2","0",2011,34,2011-08-20,2011-08-26
"23","Monaragala","5","1","0","1","0","0","0","3","0",2011,34,2011-08-20,2011-08-26
"24","Ratnapura","16","4","0","2","0","17","1","1","0",2011,34,2011-08-20,2011-08-26
"25","Kegalle","18","2","0","3","1","3","2","5","0",2011,34,2011-08-20,2011-08-26
"26","Kalmune","0","3","0","0","6","0","0","0","0",2011,34,2011-08-20,2011-08-26
