"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","28","21","01","01","00","02","00","10",2007,24,2007-06-09,2007-06-15
"2","Gampaha","10","15","00","00","00","01","00","02",2007,24,2007-06-09,2007-06-15
"3","Kalutara","04","20","00","01","00","00","00","00",2007,24,2007-06-09,2007-06-15
"4","Kandy","09","06","00","03","00","02","00","54",2007,24,2007-06-09,2007-06-15
"5","Matale","02","02","01","01","00","03","00","04",2007,24,2007-06-09,2007-06-15
"6","NuwaraEliya","00","05","00","02","00","00","01","15",2007,24,2007-06-09,2007-06-15
"7","Galle","01","03","00","00","00","00","00","00",2007,24,2007-06-09,2007-06-15
"8","Hambanthota","02","01","00","01","04","00","02","01",2007,24,2007-06-09,2007-06-15
"9","Matara","01","06","02","00","00","03","02","02",2007,24,2007-06-09,2007-06-15
"10","Jaffna","00","00","00","00","00","00","00","00",2007,24,2007-06-09,2007-06-15
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,24,2007-06-09,2007-06-15
"12","Mannar","00","00","00","00","00","00","00","00",2007,24,2007-06-09,2007-06-15
"13","Vavuniya","00","04","00","01","02","00","00","01",2007,24,2007-06-09,2007-06-15
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,24,2007-06-09,2007-06-15
"15","Batticaloa","00","03","00","00","00","00","00","28",2007,24,2007-06-09,2007-06-15
"16","Ampara","01","00","00","00","00","00","00","00",2007,24,2007-06-09,2007-06-15
"17","Trincomalee","02","02","01","01","00","01","00","02",2007,24,2007-06-09,2007-06-15
"18","Kurunagala","14","19","01","03","00","00","00","02",2007,24,2007-06-09,2007-06-15
"19","Puttalam","02","06","01","02","00","01","01","03",2007,24,2007-06-09,2007-06-15
"20","Anuradhapura","07","05","00","00","02","02","00","01",2007,24,2007-06-09,2007-06-15
"21","Polonnaruwa","01","03","00","01","00","00","00","02",2007,24,2007-06-09,2007-06-15
"22","Badulla","00","15","00","05","00","01","08","15",2007,24,2007-06-09,2007-06-15
"23","Monaragala","00","14","00","06","00","00","01","05",2007,24,2007-06-09,2007-06-15
"24","Ratnapura","03","06","00","01","00","03","01","01",2007,24,2007-06-09,2007-06-15
"25","Kegalle","08","06","01","01","00","04","00","06",2007,24,2007-06-09,2007-06-15
"26","Kalmune","00","04","00","00","00","00","00","03",2007,24,2007-06-09,2007-06-15
