"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","34","02","01","01","01","05","00","03",2007,37,2007-09-08,2007-09-14
"2","Gampaha","28","00","00","02","00","02","00","03",2007,37,2007-09-08,2007-09-14
"3","Kalutara","13","05","00","01","01","06","00","02",2007,37,2007-09-08,2007-09-14
"4","Kandy","06","06","00","02","00","02","06","33",2007,37,2007-09-08,2007-09-14
"5","Matale","01","09","00","02","00","01","00","03",2007,37,2007-09-08,2007-09-14
"6","NuwaraEliya","00","00","00","01","00","00","00","07",2007,37,2007-09-08,2007-09-14
"7","Galle","05","02","00","00","01","07","00","00",2007,37,2007-09-08,2007-09-14
"8","Hambanthota","03","00","01","00","00","00","01","02",2007,37,2007-09-08,2007-09-14
"9","Matara","05","00","00","01","00","03","10","00",2007,37,2007-09-08,2007-09-14
"10","Jaffna","04","09","00","00","00","00","00","00",2007,37,2007-09-08,2007-09-14
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,37,2007-09-08,2007-09-14
"12","Mannar","00","00","00","00","00","01","00","00",2007,37,2007-09-08,2007-09-14
"13","Vavuniya","02","00","00","01","00","00","00","00",2007,37,2007-09-08,2007-09-14
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,37,2007-09-08,2007-09-14
"15","Batticaloa","00","00","01","01","00","00","00","22",2007,37,2007-09-08,2007-09-14
"16","Ampara","00","00","00","00","00","00","00","01",2007,37,2007-09-08,2007-09-14
"17","Trincomalee","00","06","00","00","00","00","00","01",2007,37,2007-09-08,2007-09-14
"18","Kurunagala","20","05","00","00","00","01","00","03",2007,37,2007-09-08,2007-09-14
"19","Puttalam","05","03","00","01","00","02","01","02",2007,37,2007-09-08,2007-09-14
"20","Anuradhapura","05","02","00","00","00","00","00","01",2007,37,2007-09-08,2007-09-14
"21","Polonnaruwa","02","04","00","01","00","01","00","05",2007,37,2007-09-08,2007-09-14
"22","Badulla","07","09","00","00","00","02","04","14",2007,37,2007-09-08,2007-09-14
"23","Monaragala","01","03","00","00","00","00","01","01",2007,37,2007-09-08,2007-09-14
"24","Ratnapura","11","13","00","01","00","02","00","02",2007,37,2007-09-08,2007-09-14
"25","Kegalle","07","08","00","01","00","01","03","12",2007,37,2007-09-08,2007-09-14
"26","Kalmune","0","07","00","00","00","01","00","01",2007,37,2007-09-08,2007-09-14
