"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","25","1","0","1","0","16","0","0","0",2011,44,2011-10-29,2011-11-04
"2","Gampaha","46","0","1","0","0","4","0","14","0",2011,44,2011-10-29,2011-11-04
"3","Kalutara","21","1","0","1","0","5","1","2","0",2011,44,2011-10-29,2011-11-04
"4","Kandy","60","4","0","1","0","1","0","1","0",2011,44,2011-10-29,2011-11-04
"5","Matale","4","7","0","1","0","0","0","0","0",2011,44,2011-10-29,2011-11-04
"6","NuwaraEliya","2","2","0","1","0","0","1","0","0",2011,44,2011-10-29,2011-11-04
"7","Galle","4","0","0","0","0","3","0","1","0",2011,44,2011-10-29,2011-11-04
"8","Hambanthota","4","0","0","0","0","2","0","0","0",2011,44,2011-10-29,2011-11-04
"9","Matara","25","3","0","2","0","8","4","0","0",2011,44,2011-10-29,2011-11-04
"10","Jaffna","3","13","0","7","1","0","0","0","0",2011,44,2011-10-29,2011-11-04
"11","Kilinochchi","0","0","0","0","0","0","1","0","0",2011,44,2011-10-29,2011-11-04
"12","Mannar","2","0","0","1","0","0","0","0","0",2011,44,2011-10-29,2011-11-04
"13","Vavuniya","2","2","1","0","2","0","0","0","0",2011,44,2011-10-29,2011-11-04
"14","Mullaitivu","0","1","0","0","0","0","0","0","0",2011,44,2011-10-29,2011-11-04
"15","Batticaloa","3","0","0","0","0","0","0","0","1",2011,44,2011-10-29,2011-11-04
"16","Ampara","3","6","0","0","0","0","0","0","0",2011,44,2011-10-29,2011-11-04
"17","Trincomalee","2","11","0","0","0","0","0","1","0",2011,44,2011-10-29,2011-11-04
"18","Kurunagala","26","7","0","0","1","4","1","4","0",2011,44,2011-10-29,2011-11-04
"19","Puttalam","6","0","0","0","0","1","0","0","0",2011,44,2011-10-29,2011-11-04
"20","Anuradhapura","0","1","0","0","0","1","0","1","0",2011,44,2011-10-29,2011-11-04
"21","Polonnaruwa","2","2","0","0","0","2","0","1","0",2011,44,2011-10-29,2011-11-04
"22","Badulla","16","3","0","0","0","2","0","2","0",2011,44,2011-10-29,2011-11-04
"23","Monaragala","9","3","0","1","0","0","0","3","0",2011,44,2011-10-29,2011-11-04
"24","Ratnapura","11","3","0","0","0","6","1","8","0",2011,44,2011-10-29,2011-11-04
"25","Kegalle","38","2","0","2","0","4","0","10","0",2011,44,2011-10-29,2011-11-04
"26","Kalmune","1","2","0","1","0","0","0","0","0",2011,44,2011-10-29,2011-11-04
