"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","71","02","00","00","00","01","00","00",2006,52,2006-12-23,2006-12-29
"2","Gampaha","12","00","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"3","Kalutara","12","06","01","00","11","02","00","00",2006,52,2006-12-23,2006-12-29
"4","Kandy","20","05","00","00","00","01","04","00",2006,52,2006-12-23,2006-12-29
"5","Matale","04","00","00","00","00","00","00","01",2006,52,2006-12-23,2006-12-29
"6","NuwaraEliya","01","01","00","00","00","00","00","01",2006,52,2006-12-23,2006-12-29
"7","Galle","01","02","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"8","Hambanthota","01","01","00","01","00","00","02","00",2006,52,2006-12-23,2006-12-29
"9","Matara","11","03","02","02","00","06","06","00",2006,52,2006-12-23,2006-12-29
"10","Jaffna","00","00","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"11","Kilinochchi","00","00","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"12","Mannar","00","00","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"13","Vavuniya","03","00","00","00","01","00","00","00",2006,52,2006-12-23,2006-12-29
"14","Mullaitivu","00","00","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"15","Batticaloa","00","00","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"16","Ampara","00","02","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"17","Trincomalee","00","02","00","02","00","01","00","00",2006,52,2006-12-23,2006-12-29
"18","Kurunagala","16","04","00","02","00","00","01","00",2006,52,2006-12-23,2006-12-29
"19","Puttalam","06","01","02","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"20","Anuradhapura","04","04","03","00","00","01","02","02",2006,52,2006-12-23,2006-12-29
"21","Polonnaruwa","01","05","00","00","00","00","00","00",2006,52,2006-12-23,2006-12-29
"22","Badulla","02","01","00","00","00","01","00","03",2006,52,2006-12-23,2006-12-29
"23","Monaragala","00","04","00","00","00","01","00","00",2006,52,2006-12-23,2006-12-29
"24","Ratnapura","01","08","01","01","00","01","01","01",2006,52,2006-12-23,2006-12-29
"25","Kegalle","01","01","00","00","00","03","00","00",2006,52,2006-12-23,2006-12-29
"26","Kalmune","00","02","00","00","00","00","00","02",2006,52,2006-12-23,2006-12-29
