"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","95","3","1","1","0","4","0","0","0","3","0","0",2016,23,2016-05-28,2016-06-03
"2","Gampaha","0","0","0","0","0","0","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
"3","Kalutara","19","1","1","0","1","4","0","0","0","1","1","0",2016,23,2016-05-28,2016-06-03
"4","Kandy","55","4","0","0","2","3","6","1","0","7","0","0",2016,23,2016-05-28,2016-06-03
"5","Matale","5","1","0","0","0","0","1","0","0","1","1","0",2016,23,2016-05-28,2016-06-03
"6","NuwaraEliya","8","4","0","2","2","2","4","3","0","2","2","0",2016,23,2016-05-28,2016-06-03
"7","Galle","30","1","0","0","0","9","4","1","0","4","0","0",2016,23,2016-05-28,2016-06-03
"8","Hambanthota","14","3","0","0","2","6","0","0","0","13","1","0",2016,23,2016-05-28,2016-06-03
"9","Matara","17","12","0","0","0","5","0","0","0","3","1","2",2016,23,2016-05-28,2016-06-03
"10","Jaffna","26","3","0","1","3","0","2","0","0","2","0","0",2016,23,2016-05-28,2016-06-03
"11","Kilinochchi","1","0","0","0","0","0","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
"12","Mannar","4","0","0","0","0","0","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
"13","Vavuniya","0","0","0","2","1","0","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
"14","Mullaitivu","2","0","0","0","31","1","0","0","0","1","0","0",2016,23,2016-05-28,2016-06-03
"15","Batticaloa","18","2","0","1","0","0","0","0","0","2","0","0",2016,23,2016-05-28,2016-06-03
"16","Ampara","3","0","0","0","2","0","0","0","0","4","0","0",2016,23,2016-05-28,2016-06-03
"17","Trincomalee","2","1","0","0","0","1","0","0","0","2","0","1",2016,23,2016-05-28,2016-06-03
"18","Kurunagala","62","7","0","0","0","6","0","0","0","4","1","1",2016,23,2016-05-28,2016-06-03
"19","Puttalam","10","1","0","0","0","0","1","0","0","2","1","1",2016,23,2016-05-28,2016-06-03
"20","Anuradhapura","3","1","0","0","0","4","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
"21","Polonnaruwa","5","0","0","0","0","1","0","0","0","3","1","0",2016,23,2016-05-28,2016-06-03
"22","Badulla","26","3","1","1","0","3","5","1","0","2","2","1",2016,23,2016-05-28,2016-06-03
"23","Monaragala","2","1","0","0","0","2","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
"24","Ratnapura","58","18","1","0","0","26","0","2","0","3","0","0",2016,23,2016-05-28,2016-06-03
"25","Kegalle","30","2","1","0","1","5","0","0","0","6","2","0",2016,23,2016-05-28,2016-06-03
"26","Kalmune","1","0","0","0","3","0","0","0","0","0","0","0",2016,23,2016-05-28,2016-06-03
