"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","45","12","00","01","01","02","01","07",2007,30,2007-07-21,2007-07-27
"2","Gampaha","05","02","01","00","00","05","00","03",2007,30,2007-07-21,2007-07-27
"3","Kalutara","13","04","01","00","00","01","00","00",2007,30,2007-07-21,2007-07-27
"4","Kandy","03","04","00","02","00","03","02","32",2007,30,2007-07-21,2007-07-27
"5","Matale","01","02","00","01","00","01","00","00",2007,30,2007-07-21,2007-07-27
"6","NuwaraEliya","00","00","00","03","00","00","00","10",2007,30,2007-07-21,2007-07-27
"7","Galle","00","09","01","00","29","00","01","00",2007,30,2007-07-21,2007-07-27
"8","Hambanthota","00","03","00","00","00","00","01","02",2007,30,2007-07-21,2007-07-27
"9","Matara","04","07","00","00","01","00","02","02",2007,30,2007-07-21,2007-07-27
"10","Jaffna","00","00","00","00","00","00","00","00",2007,30,2007-07-21,2007-07-27
"11","Kilinochchi","00","00","00","01","00","00","00","00",2007,30,2007-07-21,2007-07-27
"12","Mannar","00","00","00","01","00","00","00","00",2007,30,2007-07-21,2007-07-27
"13","Vavuniya","00","01","00","00","00","00","00","01",2007,30,2007-07-21,2007-07-27
"14","Mullaitivu","00","04","01","01","00","00","00","00",2007,30,2007-07-21,2007-07-27
"15","Batticaloa","03","08","00","00","00","00","00","29",2007,30,2007-07-21,2007-07-27
"16","Ampara","00","00","00","00","00","00","00","00",2007,30,2007-07-21,2007-07-27
"17","Trincomalee","00","00","00","01","00","00","00","02",2007,30,2007-07-21,2007-07-27
"18","Kurunagala","34","08","00","02","00","01","02","00",2007,30,2007-07-21,2007-07-27
"19","Puttalam","04","05","00","00","00","00","00","00",2007,30,2007-07-21,2007-07-27
"20","Anuradhapura","07","00","00","00","00","00","00","00",2007,30,2007-07-21,2007-07-27
"21","Polonnaruwa","02","02","00","01","00","00","00","03",2007,30,2007-07-21,2007-07-27
"22","Badulla","04","09","00","01","00","00","01","15",2007,30,2007-07-21,2007-07-27
"23","Monaragala","00","14","00","03","00","00","04","02",2007,30,2007-07-21,2007-07-27
"24","Ratnapura","19","06","01","02","00","00","02","04",2007,30,2007-07-21,2007-07-27
"25","Kegalle","03","03","00","00","00","02","00","04",2007,30,2007-07-21,2007-07-27
"26","Kalmune","00","02","00","00","04","00","00","01",2007,30,2007-07-21,2007-07-27
