"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","10","04","00","01","02","01","00","01",2007,14,2007-03-31,2007-04-06
"2","Gampaha","02","04","00","00","00","07","00","01",2007,14,2007-03-31,2007-04-06
"3","Kalutara","05","04","00","00","00","04","00","01",2007,14,2007-03-31,2007-04-06
"4","Kandy","07","00","00","02","00","00","02","05",2007,14,2007-03-31,2007-04-06
"5","Matale","00","01","00","00","00","00","00","11",2007,14,2007-03-31,2007-04-06
"6","NuwaraEliya","00","05","00","01","00","00","01","03",2007,14,2007-03-31,2007-04-06
"7","Galle","00","02","00","00","00","01","00","00",2007,14,2007-03-31,2007-04-06
"8","Hambanthota","03","00","00","00","03","00","00","00",2007,14,2007-03-31,2007-04-06
"9","Matara","00","01","00","01","00","02","03","00",2007,14,2007-03-31,2007-04-06
"10","Jaffna","00","00","00","00","00","00","00","00",2007,14,2007-03-31,2007-04-06
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,14,2007-03-31,2007-04-06
"12","Mannar","00","00","00","00","00","00","00","00",2007,14,2007-03-31,2007-04-06
"13","Vavuniya","00","01","00","00","00","00","00","00",2007,14,2007-03-31,2007-04-06
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,14,2007-03-31,2007-04-06
"15","Batticaloa","00","02","01","00","00","00","00","01",2007,14,2007-03-31,2007-04-06
"16","Ampara","00","00","00","00","00","00","00","00",2007,14,2007-03-31,2007-04-06
"17","Trincomalee","00","04","00","00","00","00","00","03",2007,14,2007-03-31,2007-04-06
"18","Kurunagala","06","03","00","04","00","00","00","01",2007,14,2007-03-31,2007-04-06
"19","Puttalam","01","00","00","00","00","02","00","05",2007,14,2007-03-31,2007-04-06
"20","Anuradhapura","01","00","00","01","00","01","00","00",2007,14,2007-03-31,2007-04-06
"21","Polonnaruwa","01","00","00","00","01","02","00","00",2007,14,2007-03-31,2007-04-06
"22","Badulla","01","10","00","01","00","01","06","03",2007,14,2007-03-31,2007-04-06
"23","Monaragala","00","09","00","01","00","02","00","01",2007,14,2007-03-31,2007-04-06
"24","Ratnapura","00","12","00","00","00","01","00","00",2007,14,2007-03-31,2007-04-06
"25","Kegalle","01","02","00","03","00","03","01","00",2007,14,2007-03-31,2007-04-06
"26","Kalmune","00","00","00","00","00","00","00","01",2007,14,2007-03-31,2007-04-06
