"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","247","2","0","0","0","5","0","2","0","18","2","0",2020,6,2020-02-01,2020-02-07
"2","Gampaha","132","0","0","0","0","3","0","0","0","19","0","0",2020,6,2020-02-01,2020-02-07
"3","Kalutara","94","3","1","0","0","16","0","0","0","12","2","0",2020,6,2020-02-01,2020-02-07
"4","Kandy","104","1","0","1","0","1","3","0","0","8","0","2",2020,6,2020-02-01,2020-02-07
"5","Matale","32","1","0","0","0","1","1","0","0","2","1","13",2020,6,2020-02-01,2020-02-07
"6","NuwaraEliya","9","2","0","0","0","1","3","0","0","3","0","0",2020,6,2020-02-01,2020-02-07
"7","Galle","93","0","1","0","0","24","3","0","0","15","0","0",2020,6,2020-02-01,2020-02-07
"8","Hambanthota","28","0","0","0","0","5","1","0","0","10","1","8",2020,6,2020-02-01,2020-02-07
"9","Matara","34","0","0","0","0","9","1","0","0","7","2","16",2020,6,2020-02-01,2020-02-07
"10","Jaffna","158","6","0","3","3","1","43","0","0","8","0","0",2020,6,2020-02-01,2020-02-07
"11","Kilinochchi","9","1","0","0","0","0","0","0","0","2","1","0",2020,6,2020-02-01,2020-02-07
"12","Mannar","6","0","0","0","0","0","0","0","0","0","0","0",2020,6,2020-02-01,2020-02-07
"13","Vavuniya","19","0","0","0","0","4","0","0","0","1","0","0",2020,6,2020-02-01,2020-02-07
"14","Mullaitivu","5","0","0","0","0","0","0","0","0","0","0","0",2020,6,2020-02-01,2020-02-07
"15","Batticaloa","189","3","0","0","0","1","0","0","0","3","0","0",2020,6,2020-02-01,2020-02-07
"16","Ampara","43","0","1","0","0","4","0","0","0","6","1","1",2020,6,2020-02-01,2020-02-07
"17","Trincomalee","229","0","0","0","0","3","0","0","0","4","1","0",2020,6,2020-02-01,2020-02-07
"18","Kurunagala","58","0","1","0","0","8","1","0","0","19","0","18",2020,6,2020-02-01,2020-02-07
"19","Puttalam","15","0","0","0","0","0","0","0","1","5","0","1",2020,6,2020-02-01,2020-02-07
"20","Anuradhapura","25","0","1","0","0","16","0","1","1","13","2","5",2020,6,2020-02-01,2020-02-07
"21","Polonnaruwa","30","0","0","0","0","3","0","0","0","7","1","9",2020,6,2020-02-01,2020-02-07
"22","Badulla","30","0","1","0","0","6","2","0","0","4","1","0",2020,6,2020-02-01,2020-02-07
"23","Monaragala","0","0","0","0","0","0","0","0","0","0","0","0",2020,6,2020-02-01,2020-02-07
"24","Ratnapura","54","2","1","0","3","17","2","0","0","8","4","0",2020,6,2020-02-01,2020-02-07
"25","Kegalle","30","1","0","0","9","4","5","2","0","7","0","3",2020,6,2020-02-01,2020-02-07
"26","Kalmune","73","1","0","0","0","0","0","0","0","9","0","0",2020,6,2020-02-01,2020-02-07
