"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","31","10","00","00","02","01","00","09",2007,27,2007-06-30,2007-07-06
"2","Gampaha","06","06","00","00","00","04","01","05",2007,27,2007-06-30,2007-07-06
"3","Kalutara","10","16","00","00","01","02","00","05",2007,27,2007-06-30,2007-07-06
"4","Kandy","02","05","00","00","00","01","00","31",2007,27,2007-06-30,2007-07-06
"5","Matale","00","02","00","00","03","00","00","02",2007,27,2007-06-30,2007-07-06
"6","NuwaraEliya","00","07","00","00","00","00","01","18",2007,27,2007-06-30,2007-07-06
"7","Galle","01","00","00","04","00","00","00","00",2007,27,2007-06-30,2007-07-06
"8","Hambanthota","01","09","00","01","00","00","01","00",2007,27,2007-06-30,2007-07-06
"9","Matara","05","01","00","01","00","01","03","00",2007,27,2007-06-30,2007-07-06
"10","Jaffna","00","00","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
"12","Mannar","00","00","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
"13","Vavuniya","01","01","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
"15","Batticaloa","00","52","00","00","00","00","00","38",2007,27,2007-06-30,2007-07-06
"16","Ampara","00","00","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
"17","Trincomalee","01","10","00","01","00","00","01","08",2007,27,2007-06-30,2007-07-06
"18","Kurunagala","21","07","01","02","00","00","01","03",2007,27,2007-06-30,2007-07-06
"19","Puttalam","00","02","00","03","00","00","00","01",2007,27,2007-06-30,2007-07-06
"20","Anuradhapura","19","01","01","00","00","00","00","01",2007,27,2007-06-30,2007-07-06
"21","Polonnaruwa","00","02","00","01","00","00","00","01",2007,27,2007-06-30,2007-07-06
"22","Badulla","02","06","01","04","00","03","06","03",2007,27,2007-06-30,2007-07-06
"23","Monaragala","00","14","00","01","00","01","00","01",2007,27,2007-06-30,2007-07-06
"24","Ratnapura","06","11","00","00","00","00","00","05",2007,27,2007-06-30,2007-07-06
"25","Kegalle","04","04","01","00","00","01","00","09",2007,27,2007-06-30,2007-07-06
"26","Kalmune","00","02","00","00","00","00","00","00",2007,27,2007-06-30,2007-07-06
