"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","16","20","00","01","01","01","00","07",2007,22,2007-05-26,2007-06-01
"2","Gampaha","04","11","00","02","00","02","01","02",2007,22,2007-05-26,2007-06-01
"3","Kalutara","02","14","00","00","02","00","00","00",2007,22,2007-05-26,2007-06-01
"4","Kandy","03","03","00","00","00","00","00","213",2007,22,2007-05-26,2007-06-01
"5","Matale","00","01","00","00","00","00","00","01",2007,22,2007-05-26,2007-06-01
"6","NuwaraEliya","01","07","00","08","00","02","01","07",2007,22,2007-05-26,2007-06-01
"7","Galle","02","09","00","02","00","00","01","01",2007,22,2007-05-26,2007-06-01
"8","Hambanthota","00","02","01","02","00","03","01","01",2007,22,2007-05-26,2007-06-01
"9","Matara","02","10","00","02","00","02","07","00",2007,22,2007-05-26,2007-06-01
"10","Jaffna","00","00","00","00","00","00","00","00",2007,22,2007-05-26,2007-06-01
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,22,2007-05-26,2007-06-01
"12","Mannar","00","00","00","00","00","00","00","00",2007,22,2007-05-26,2007-06-01
"13","Vavuniya","00","01","00","00","00","00","00","00",2007,22,2007-05-26,2007-06-01
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,22,2007-05-26,2007-06-01
"15","Batticaloa","06","08","00","00","05","00","00","18",2007,22,2007-05-26,2007-06-01
"16","Ampara","00","05","00","00","00","00","00","01",2007,22,2007-05-26,2007-06-01
"17","Trincomalee","00","02","00","00","00","00","00","04",2007,22,2007-05-26,2007-06-01
"18","Kurunagala","05","13","00","02","00","00","00","02",2007,22,2007-05-26,2007-06-01
"19","Puttalam","00","01","00","01","00","00","00","01",2007,22,2007-05-26,2007-06-01
"20","Anuradhapura","05","06","00","00","01","00","00","00",2007,22,2007-05-26,2007-06-01
"21","Polonnaruwa","00","02","00","00","00","00","00","00",2007,22,2007-05-26,2007-06-01
"22","Badulla","01","31","00","06","00","00","01","05",2007,22,2007-05-26,2007-06-01
"23","Monaragala","01","19","00","02","00","03","00","01",2007,22,2007-05-26,2007-06-01
"24","Ratnapura","02","07","00","00","00","02","00","00",2007,22,2007-05-26,2007-06-01
"25","Kegalle","11","14","01","00","00","03","01","13",2007,22,2007-05-26,2007-06-01
"26","Kalmune","0","07","00","00","00","00","00","01",2007,22,2007-05-26,2007-06-01
