"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","11","09","00","05","17","05","00","00",2007,12,2007-03-17,2007-03-23
"2","Gampaha","04","01","01","01","00","06","00","00",2007,12,2007-03-17,2007-03-23
"3","Kalutara","05","01","00","02","00","01","00","01",2007,12,2007-03-17,2007-03-23
"4","Kandy","04","02","00","03","01","00","02","00",2007,12,2007-03-17,2007-03-23
"5","Matale","01","02","00","00","00","00","00","03",2007,12,2007-03-17,2007-03-23
"6","NuwaraEliya","00","01","00","00","00","01","02","02",2007,12,2007-03-17,2007-03-23
"7","Galle","00","03","01","00","00","00","01","01",2007,12,2007-03-17,2007-03-23
"8","Hambanthota","01","02","00","00","03","00","00","00",2007,12,2007-03-17,2007-03-23
"9","Matara","01","01","00","00","00","04","08","00",2007,12,2007-03-17,2007-03-23
"10","Jaffna","00","00","00","00","00","00","00","00",2007,12,2007-03-17,2007-03-23
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,12,2007-03-17,2007-03-23
"12","Mannar","00","00","00","01","00","00","00","00",2007,12,2007-03-17,2007-03-23
"13","Vavuniya","00","00","01","00","00","00","00","00",2007,12,2007-03-17,2007-03-23
"14","Mullaitivu","00","01","01","01","00","00","00","00",2007,12,2007-03-17,2007-03-23
"15","Batticaloa","01","01","00","00","00","00","00","11",2007,12,2007-03-17,2007-03-23
"16","Ampara","00","02","00","00","00","00","00","01",2007,12,2007-03-17,2007-03-23
"17","Trincomalee","00","02","00","00","00","00","01","08",2007,12,2007-03-17,2007-03-23
"18","Kurunagala","00","03","00","01","00","00","00","00",2007,12,2007-03-17,2007-03-23
"19","Puttalam","00","00","00","01","00","01","00","01",2007,12,2007-03-17,2007-03-23
"20","Anuradhapura","01","00","00","02","00","00","01","00",2007,12,2007-03-17,2007-03-23
"21","Polonnaruwa","00","01","00","00","00","01","00","00",2007,12,2007-03-17,2007-03-23
"22","Badulla","01","06","00","02","00","00","03","06",2007,12,2007-03-17,2007-03-23
"23","Monaragala","01","02","00","00","00","00","00","01",2007,12,2007-03-17,2007-03-23
"24","Ratnapura","03","27","00","02","00","00","00","01",2007,12,2007-03-17,2007-03-23
"25","Kegalle","01","03","00","00","00","02","00","01",2007,12,2007-03-17,2007-03-23
"26","Kalmune","00","00","00","00","00","00","00","01",2007,12,2007-03-17,2007-03-23
