"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","48","1","0","1","0","1","0","0","0","6","0","0",2013,42,2013-10-12,2013-10-18
"2","Gampaha","40","2","2","0","0","5","0","0","0","7","1","0",2013,42,2013-10-12,2013-10-18
"3","Kalutara","22","2","0","3","0","5","0","1","0","3","0","0",2013,42,2013-10-12,2013-10-18
"4","Kandy","11","0","0","0","0","0","0","6","0","1","0","0",2013,42,2013-10-12,2013-10-18
"5","Matale","4","0","0","0","1","1","0","1","0","0","1","0",2013,42,2013-10-12,2013-10-18
"6","NuwaraEliya","2","1","0","1","0","2","1","2","0","0","0","0",2013,42,2013-10-12,2013-10-18
"7","Galle","3","3","0","0","8","0","1","1","0","6","0","0",2013,42,2013-10-12,2013-10-18
"8","Hambanthota","0","1","0","0","0","1","0","0","0","3","1","1",2013,42,2013-10-12,2013-10-18
"9","Matara","3","3","1","0","0","0","2","2","0","2","0","5",2013,42,2013-10-12,2013-10-18
"10","Jaffna","9","18","0","3","0","0","2","0","0","2","1","0",2013,42,2013-10-12,2013-10-18
"11","Kilinochchi","1","0","0","0","0","0","0","0","0","0","0","0",2013,42,2013-10-12,2013-10-18
"12","Mannar","0","0","0","3","0","0","0","0","0","0","0","0",2013,42,2013-10-12,2013-10-18
"13","Vavuniya","1","0","0","0","0","0","1","0","0","0","0","0",2013,42,2013-10-12,2013-10-18
"14","Mullaitivu","2","0","0","1","0","0","1","0","0","0","0","0",2013,42,2013-10-12,2013-10-18
"15","Batticaloa","3","5","0","0","0","0","0","0","0","1","0","0",2013,42,2013-10-12,2013-10-18
"16","Ampara","0","4","0","0","0","0","0","0","0","0","1","0",2013,42,2013-10-12,2013-10-18
"17","Trincomalee","0","0","0","0","0","0","0","0","0","0","0","0",2013,42,2013-10-12,2013-10-18
"18","Kurunagala","15","1","0","0","0","1","0","0","0","3","1","4",2013,42,2013-10-12,2013-10-18
"19","Puttalam","2","5","0","0","0","0","0","0","0","0","0","1",2013,42,2013-10-12,2013-10-18
"20","Anuradhapura","2","4","0","0","19","1","0","0","0","0","2","10",2013,42,2013-10-12,2013-10-18
"21","Polonnaruwa","2","3","1","0","2","2","0","0","0","0","0","3",2013,42,2013-10-12,2013-10-18
"22","Badulla","5","5","0","1","1","0","4","0","0","3","2","0",2013,42,2013-10-12,2013-10-18
"23","Monaragala","5","1","0","0","0","0","0","3","0","0","0","0",2013,42,2013-10-12,2013-10-18
"24","Ratnapura","4","6","0","0","0","5","1","17","0","4","1","0",2013,42,2013-10-12,2013-10-18
"25","Kegalle","16","3","0","0","0","7","0","6","0","7","0","0",2013,42,2013-10-12,2013-10-18
"26","Kalmune","0","0","0","0","0","1","0","0","0","0","0","0",2013,42,2013-10-12,2013-10-18
