"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","36","03","00","04","00","05","00","02",2007,6,2007-02-03,2007-02-09
"2","Gampaha","19","07","00","00","00","02","00","02",2007,6,2007-02-03,2007-02-09
"3","Kalutara","08","04","00","01","00","01","00","02",2007,6,2007-02-03,2007-02-09
"4","Kandy","10","02","00","01","00","00","01","13",2007,6,2007-02-03,2007-02-09
"5","Matale","02","01","00","02","00","01","00","11",2007,6,2007-02-03,2007-02-09
"6","NuwaraEliya","00","04","00","02","00","00","02","07",2007,6,2007-02-03,2007-02-09
"7","Galle","04","01","01","01","03","02","02","00",2007,6,2007-02-03,2007-02-09
"8","Hambanthota","02","01","00","01","00","03","00","00",2007,6,2007-02-03,2007-02-09
"9","Matara","02","11","00","00","00","00","09","00",2007,6,2007-02-03,2007-02-09
"10","Jaffna","00","00","00","00","00","00","00","00",2007,6,2007-02-03,2007-02-09
"11","Kilinochchi","00","00","00","01","00","00","00","00",2007,6,2007-02-03,2007-02-09
"12","Mannar","01","00","00","05","00","00","00","01",2007,6,2007-02-03,2007-02-09
"13","Vavuniya","02","00","00","00","01","00","00","00",2007,6,2007-02-03,2007-02-09
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,6,2007-02-03,2007-02-09
"15","Batticaloa","00","03","00","01","00","00","00","07",2007,6,2007-02-03,2007-02-09
"16","Ampara","00","01","00","00","00","00","00","00",2007,6,2007-02-03,2007-02-09
"17","Trincomalee","01","02","00","01","00","00","00","00",2007,6,2007-02-03,2007-02-09
"18","Kurunagala","08","11","00","02","00","01","01","01",2007,6,2007-02-03,2007-02-09
"19","Puttalam","04","02","01","00","00","00","00","01",2007,6,2007-02-03,2007-02-09
"20","Anuradhapura","01","05","00","02","00","01","01","01",2007,6,2007-02-03,2007-02-09
"21","Polonnaruwa","00","02","00","00","00","00","00","00",2007,6,2007-02-03,2007-02-09
"22","Badulla","01","07","00","01","00","03","04","02",2007,6,2007-02-03,2007-02-09
"23","Monaragala","00","05","00","02","00","01","04","02",2007,6,2007-02-03,2007-02-09
"24","Ratnapura","04","07","00","02","02","01","00","02",2007,6,2007-02-03,2007-02-09
"25","Kegalle","03","04","00","01","00","03","02","01",2007,6,2007-02-03,2007-02-09
"26","Kalmune","00","02","00","00","00","00","00","01",2007,6,2007-02-03,2007-02-09
