"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","26","15","00","01","00","01","00","01",2007,26,2007-06-23,2007-06-29
"2","Gampaha","03","10","00","01","00","04","00","01",2007,26,2007-06-23,2007-06-29
"3","Kalutara","04","16","00","01","01","04","00","01",2007,26,2007-06-23,2007-06-29
"4","Kandy","03","01","00","03","00","02","01","178",2007,26,2007-06-23,2007-06-29
"5","Matale","01","07","01","00","00","04","00","02",2007,26,2007-06-23,2007-06-29
"6","NuwaraEliya","00","04","00","07","00","00","00","43",2007,26,2007-06-23,2007-06-29
"7","Galle","02","02","00","00","00","01","00","01",2007,26,2007-06-23,2007-06-29
"8","Hambanthota","00","06","00","01","00","00","03","00",2007,26,2007-06-23,2007-06-29
"9","Matara","04","09","00","01","00","01","02","00",2007,26,2007-06-23,2007-06-29
"10","Jaffna","00","00","00","00","00","00","00","00",2007,26,2007-06-23,2007-06-29
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,26,2007-06-23,2007-06-29
"12","Mannar","00","00","00","00","00","00","00","00",2007,26,2007-06-23,2007-06-29
"13","Vavuniya","01","02","00","00","00","00","00","00",2007,26,2007-06-23,2007-06-29
"14","Mullaitivu","00","00","00","00","00","00","00","01",2007,26,2007-06-23,2007-06-29
"15","Batticaloa","00","03","00","00","00","00","00","06",2007,26,2007-06-23,2007-06-29
"16","Ampara","00","00","00","00","00","00","00","00",2007,26,2007-06-23,2007-06-29
"17","Trincomalee","01","06","00","00","00","00","00","04",2007,26,2007-06-23,2007-06-29
"18","Kurunagala","18","09","00","02","01","00","01","04",2007,26,2007-06-23,2007-06-29
"19","Puttalam","00","02","00","00","00","00","00","00",2007,26,2007-06-23,2007-06-29
"20","Anuradhapura","07","01","00","00","00","01","01","00",2007,26,2007-06-23,2007-06-29
"21","Polonnaruwa","00","02","00","01","00","00","00","00",2007,26,2007-06-23,2007-06-29
"22","Badulla","00","13","01","01","00","00","07","06",2007,26,2007-06-23,2007-06-29
"23","Monaragala","01","07","00","00","00","01","01","01",2007,26,2007-06-23,2007-06-29
"24","Ratnapura","05","08","01","00","00","00","03","01",2007,26,2007-06-23,2007-06-29
"25","Kegalle","05","05","00","01","00","03","01","14",2007,26,2007-06-23,2007-06-29
"26","Kalmune","00","01","00","00","00","00","00","01",2007,26,2007-06-23,2007-06-29
