"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","23","01","00","03","02","02","00","01",2007,42,2007-10-13,2007-10-19
"2","Gampaha","11","01","00","01","00","00","01","03",2007,42,2007-10-13,2007-10-19
"3","Kalutara","05","02","00","00","04","02","00","00",2007,42,2007-10-13,2007-10-19
"4","Kandy","04","02","00","02","00","00","01","08",2007,42,2007-10-13,2007-10-19
"5","Matale","00","00","00","01","00","02","00","01",2007,42,2007-10-13,2007-10-19
"6","NuwaraEliya","01","00","00","01","00","00","00","03",2007,42,2007-10-13,2007-10-19
"7","Galle","02","00","01","00","00","05","00","00",2007,42,2007-10-13,2007-10-19
"8","Hambanthota","05","02","00","00","00","01","00","01",2007,42,2007-10-13,2007-10-19
"9","Matara","03","03","00","01","00","05","01","00",2007,42,2007-10-13,2007-10-19
"10","Jaffna","20","01","00","11","01","00","03","00",2007,42,2007-10-13,2007-10-19
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,42,2007-10-13,2007-10-19
"12","Mannar","00","02","00","06","00","00","00","02",2007,42,2007-10-13,2007-10-19
"13","Vavuniya","03","06","00","02","00","00","00","00",2007,42,2007-10-13,2007-10-19
"14","Mullaitivu","00","01","00","00","00","00","00","00",2007,42,2007-10-13,2007-10-19
"15","Batticaloa","00","00","00","00","00","00","00","04",2007,42,2007-10-13,2007-10-19
"16","Ampara","00","00","00","00","00","00","00","00",2007,42,2007-10-13,2007-10-19
"17","Trincomalee","00","02","00","00","00","00","00","00",2007,42,2007-10-13,2007-10-19
"18","Kurunagala","22","16","00","00","00","04","00","03",2007,42,2007-10-13,2007-10-19
"19","Puttalam","04","04","01","01","00","00","00","01",2007,42,2007-10-13,2007-10-19
"20","Anuradhapura","03","06","00","00","01","00","00","00",2007,42,2007-10-13,2007-10-19
"21","Polonnaruwa","01","13","00","01","53","00","00","02",2007,42,2007-10-13,2007-10-19
"22","Badulla","02","10","00","03","00","00","06","05",2007,42,2007-10-13,2007-10-19
"23","Monaragala","00","03","00","00","00","00","01","00",2007,42,2007-10-13,2007-10-19
"24","Ratnapura","01","05","00","02","00","00","00","03",2007,42,2007-10-13,2007-10-19
"25","Kegalle","21","06","00","03","00","06","00","03",2007,42,2007-10-13,2007-10-19
"26","Kalmune","0","00","02","00","01","00","00","05",2007,42,2007-10-13,2007-10-19
