"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","56","6","0","11","1","15","0","0","0",2010,39,2010-09-25,2010-10-01
"2","Gampaha","23","4","0","0","0","11","1","2","0",2010,39,2010-09-25,2010-10-01
"3","Kalutara","13","2","0","2","0","14","1","0","0",2010,39,2010-09-25,2010-10-01
"4","Kandy","14","3","0","2","0","3","4","2","0",2010,39,2010-09-25,2010-10-01
"5","Matale","3","3","0","1","0","5","0","1","0",2010,39,2010-09-25,2010-10-01
"6","NuwaraEliya","5","3","0","2","0","1","2","3","0",2010,39,2010-09-25,2010-10-01
"7","Galle","11","4","1","0","0","7","0","2","1",2010,39,2010-09-25,2010-10-01
"8","Hambanthota","7","1","0","1","1","0","0","2","0",2010,39,2010-09-25,2010-10-01
"9","Matara","9","1","0","2","0","7","2","0","0",2010,39,2010-09-25,2010-10-01
"10","Jaffna","9","3","0","4","0","0","0","4","0",2010,39,2010-09-25,2010-10-01
"11","Kilinochchi","1","0","0","0","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
"12","Mannar","7","0","0","0","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
"13","Vavuniya","2","1","0","1","1","0","0","2","0",2010,39,2010-09-25,2010-10-01
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
"15","Batticaloa","3","2","0","1","0","1","0","1","1",2010,39,2010-09-25,2010-10-01
"16","Ampara","1","3","0","0","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
"17","Trincomalee","4","3","0","0","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
"18","Kurunagala","7","3","1","1","1","4","1","2","1",2010,39,2010-09-25,2010-10-01
"19","Puttalam","6","3","0","1","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
"20","Anuradhapura","4","4","0","0","1","0","0","0","0",2010,39,2010-09-25,2010-10-01
"21","Polonnaruwa","0","4","0","0","0","2","0","1","0",2010,39,2010-09-25,2010-10-01
"22","Badulla","9","2","0","1","0","1","3","3","0",2010,39,2010-09-25,2010-10-01
"23","Monaragala","9","0","0","1","0","0","1","3","0",2010,39,2010-09-25,2010-10-01
"24","Ratnapura","28","7","0","1","0","13","1","1","0",2010,39,2010-09-25,2010-10-01
"25","Kegalle","7","2","0","1","0","10","1","3","0",2010,39,2010-09-25,2010-10-01
"26","Kalmune","0","11","0","1","0","0","0","0","0",2010,39,2010-09-25,2010-10-01
