"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","42","08","01","02","00","06","00","04","00",2008,31,2008-07-26,2008-08-01
"2","Gampaha","13","07","00","00","00","07","00","02","00",2008,31,2008-07-26,2008-08-01
"3","Kalutara","12","04","00","00","00","04","00","02","00",2008,31,2008-07-26,2008-08-01
"4","Kandy","07","11","00","01","01","07","00","02","00",2008,31,2008-07-26,2008-08-01
"5","Matale","01","01","00","00","00","03","00","00","00",2008,31,2008-07-26,2008-08-01
"6","NuwaraEliya","02","08","00","00","00","00","00","01","00",2008,31,2008-07-26,2008-08-01
"7","Galle","04","11","00","01","00","07","01","00","00",2008,31,2008-07-26,2008-08-01
"8","Hambanthota","01","02","00","01","00","01","02","01","00",2008,31,2008-07-26,2008-08-01
"9","Matara","07","01","00","03","02","03","04","02","00",2008,31,2008-07-26,2008-08-01
"10","Jaffna","00","02","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"11","Kilinochchi","00","00","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"12","Mannar","00","00","00","03","00","00","00","01","00",2008,31,2008-07-26,2008-08-01
"13","Vavuniya","01","00","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"15","Batticaloa","00","08","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"16","Ampara","00","00","00","00","01","00","00","00","00",2008,31,2008-07-26,2008-08-01
"17","Trincomalee","00","01","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"18","Kurunagala","04","02","00","01","01","08","02","00","00",2008,31,2008-07-26,2008-08-01
"19","Puttalam","02","08","00","01","00","02","00","00","00",2008,31,2008-07-26,2008-08-01
"20","Anuradhapura","00","02","00","00","00","00","00","01","00",2008,31,2008-07-26,2008-08-01
"21","Polonnaruwa","00","02","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
"22","Badulla","01","13","00","01","00","00","03","05","00",2008,31,2008-07-26,2008-08-01
"23","Monaragala","00","03","00","00","00","01","04","01","00",2008,31,2008-07-26,2008-08-01
"24","Ratnapura","02","06","01","01","01","01","00","00","00",2008,31,2008-07-26,2008-08-01
"25","Kegalle","12","03","00","02","01","06","00","05","00",2008,31,2008-07-26,2008-08-01
"26","Kalmune","01","04","00","00","00","00","00","00","00",2008,31,2008-07-26,2008-08-01
