"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","54","04","01","06","01","04","00","11",2007,46,2007-11-10,2007-11-16
"2","Gampaha","38","05","01","00","04","13","00","01",2007,46,2007-11-10,2007-11-16
"3","Kalutara","09","12","00","01","00","10","01","01",2007,46,2007-11-10,2007-11-16
"4","Kandy","08","08","00","02","00","03","02","10",2007,46,2007-11-10,2007-11-16
"5","Matale","03","11","00","01","00","01","00","02",2007,46,2007-11-10,2007-11-16
"6","NuwaraEliya","00","05","00","00","00","00","00","04",2007,46,2007-11-10,2007-11-16
"7","Galle","04","02","01","02","00","08","00","02",2007,46,2007-11-10,2007-11-16
"8","Hambanthota","02","04","00","00","00","02","03","01",2007,46,2007-11-10,2007-11-16
"9","Matara","13","03","00","00","00","13","02","01",2007,46,2007-11-10,2007-11-16
"10","Jaffna","04","01","00","01","00","00","00","00",2007,46,2007-11-10,2007-11-16
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,46,2007-11-10,2007-11-16
"12","Mannar","00","01","00","01","00","00","00","00",2007,46,2007-11-10,2007-11-16
"13","Vavuniya","00","02","00","00","02","00","00","00",2007,46,2007-11-10,2007-11-16
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,46,2007-11-10,2007-11-16
"15","Batticaloa","00","00","00","00","00","00","00","03",2007,46,2007-11-10,2007-11-16
"16","Ampara","00","12","00","00","00","00","00","02",2007,46,2007-11-10,2007-11-16
"17","Trincomalee","00","11","00","00","00","00","00","00",2007,46,2007-11-10,2007-11-16
"18","Kurunagala","32","10","01","01","00","06","00","03",2007,46,2007-11-10,2007-11-16
"19","Puttalam","23","17","01","03","03","02","00","00",2007,46,2007-11-10,2007-11-16
"20","Anuradhapura","07","10","00","00","00","00","00","00",2007,46,2007-11-10,2007-11-16
"21","Polonnaruwa","01","07","00","00","00","00","00","01",2007,46,2007-11-10,2007-11-16
"22","Badulla","02","16","00","01","00","00","03","03",2007,46,2007-11-10,2007-11-16
"23","Monaragala","01","04","00","02","02","00","01","01",2007,46,2007-11-10,2007-11-16
"24","Ratnapura","05","00","00","02","00","03","00","00",2007,46,2007-11-10,2007-11-16
"25","Kegalle","06","12","01","01","00","13","00","07",2007,46,2007-11-10,2007-11-16
"26","Kalmune","01","01","00","00","00","01","00","01",2007,46,2007-11-10,2007-11-16
