"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","42","7","0","1","0","4","0","1","0",2010,16,2010-04-17,2010-04-23
"2","Gampaha","29","0","1","1","0","6","0","1","0",2010,16,2010-04-17,2010-04-23
"3","Kalutara","30","1","0","1","0","4","0","0","0",2010,16,2010-04-17,2010-04-23
"4","Kandy","29","0","0","0","1","0","3","0","0",2010,16,2010-04-17,2010-04-23
"5","Matale","21","1","0","0","1","7","1","3","0",2010,16,2010-04-17,2010-04-23
"6","NuwaraEliya","0","9","0","3","1","0","0","1","0",2010,16,2010-04-17,2010-04-23
"7","Galle","42","3","0","0","00","2","1","0","0",2010,16,2010-04-17,2010-04-23
"8","Hambanthota","6","0","0","0","0","0","2","0","0",2010,16,2010-04-17,2010-04-23
"9","Matara","11","2","0","0","0","8","1","0","0",2010,16,2010-04-17,2010-04-23
"10","Jaffna","30","3","0","3","0","0","2","2","0",2010,16,2010-04-17,2010-04-23
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2010,16,2010-04-17,2010-04-23
"12","Mannar","4","0","0","1","0","0","0","1","0",2010,16,2010-04-17,2010-04-23
"13","Vavuniya","2","0","0","1","0","0","0","1","0",2010,16,2010-04-17,2010-04-23
"14","Mullaitivu","0","0","0","0","0","0","0","0","1",2010,16,2010-04-17,2010-04-23
"15","Batticaloa","37","4","0","2","0","2","0","0","0",2010,16,2010-04-17,2010-04-23
"16","Ampara","0","3","0","0","0","0","0","0","0",2010,16,2010-04-17,2010-04-23
"17","Trincomalee","5","0","1","0","0","0","0","1","0",2010,16,2010-04-17,2010-04-23
"18","Kurunagala","18","1","1","1","0","8","0","1","0",2010,16,2010-04-17,2010-04-23
"19","Puttalam","6","2","0","0","0","0","0","3","0",2010,16,2010-04-17,2010-04-23
"20","Anuradhapura","15","0","0","0","0","3","1","0","0",2010,16,2010-04-17,2010-04-23
"21","Polonnaruwa","8","0","0","0","0","1","0","1","0",2010,16,2010-04-17,2010-04-23
"22","Badulla","13","1","0","2","0","2","2","4","0",2010,16,2010-04-17,2010-04-23
"23","Monaragala","20","3","0","0","0","0","0","2","0",2010,16,2010-04-17,2010-04-23
"24","Ratnapura","91","19","0","2","0","19","0","1","0",2010,16,2010-04-17,2010-04-23
"25","Kegalle","16","1","0","0","0","4","0","1","0",2010,16,2010-04-17,2010-04-23
"26","Kalmune","8","4","0","0","0","0","0","0","0",2010,16,2010-04-17,2010-04-23
