"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","43","04","00","02","00","04","01","00",2007,2,2007-01-06,2007-01-12
"2","Gampaha","13","00","00","01","00","00","00","01",2007,2,2007-01-06,2007-01-12
"3","Kalutara","07","03","01","01","00","06","00","00",2007,2,2007-01-06,2007-01-12
"4","Kandy","28","10","00","02","00","02","00","01",2007,2,2007-01-06,2007-01-12
"5","Matale","07","06","00","00","00","02","00","00",2007,2,2007-01-06,2007-01-12
"6","NuwaraEliya","02","05","00","00","00","00","00","05",2007,2,2007-01-06,2007-01-12
"7","Galle","04","03","00","00","00","03","03","00",2007,2,2007-01-06,2007-01-12
"8","Hambanthota","02","01","00","01","00","01","06","01",2007,2,2007-01-06,2007-01-12
"9","Matara","08","07","00","01","00","06","05","01",2007,2,2007-01-06,2007-01-12
"10","Jaffna","00","00","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"12","Mannar","00","00","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"13","Vavuniya","00","00","00","01","00","00","00","00",2007,2,2007-01-06,2007-01-12
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"15","Batticaloa","00","02","00","00","00","00","00","03",2007,2,2007-01-06,2007-01-12
"16","Ampara","00","01","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"17","Trincomalee","01","01","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"18","Kurunagala","17","08","00","03","00","02","06","02",2007,2,2007-01-06,2007-01-12
"19","Puttalam","09","04","01","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"20","Anuradhapura","00","02","00","04","00","01","00","03",2007,2,2007-01-06,2007-01-12
"21","Polonnaruwa","00","01","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
"22","Badulla","02","05","00","03","00","03","00","06",2007,2,2007-01-06,2007-01-12
"23","Monaragala","01","04","00","02","00","01","01","00",2007,2,2007-01-06,2007-01-12
"24","Ratnapura","03","07","00","03","00","01","00","02",2007,2,2007-01-06,2007-01-12
"25","Kegalle","16","04","00","01","00","01","00","02",2007,2,2007-01-06,2007-01-12
"26","Kalmune","00","02","00","00","00","00","00","00",2007,2,2007-01-06,2007-01-12
