"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","95","5","0","2","0","4","0","0","0",2012,52,2012-12-22,2012-12-28
"2","Gampaha","82","0","1","0","0","5","0","4","0",2012,52,2012-12-22,2012-12-28
"3","Kalutara","10","1","0","1","0","3","0","1","0",2012,52,2012-12-22,2012-12-28
"4","Kandy","15","1","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
"5","Matale","5","5","0","0","0","1","0","0","0",2012,52,2012-12-22,2012-12-28
"6","NuwaraEliya","4","0","0","1","0","1","0","0","0",2012,52,2012-12-22,2012-12-28
"7","Galle","6","1","0","0","0","6","1","0","0",2012,52,2012-12-22,2012-12-28
"8","Hambanthota","7","2","0","0","0","3","0","0","0",2012,52,2012-12-22,2012-12-28
"9","Matara","14","2","0","0","0","6","3","2","0",2012,52,2012-12-22,2012-12-28
"10","Jaffna","33","3","0","18","0","0","20","0","0",2012,52,2012-12-22,2012-12-28
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
"12","Mannar","7","2","0","1","0","1","0","0","0",2012,52,2012-12-22,2012-12-28
"13","Vavuniya","4","2","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
"14","Mullaitivu","0","1","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
"15","Batticaloa","4","1","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
"16","Ampara","1","0","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
"17","Trincomalee","2","2","0","0","0","1","0","0","0",2012,52,2012-12-22,2012-12-28
"18","Kurunagala","52","6","0","0","2","2","1","0","0",2012,52,2012-12-22,2012-12-28
"19","Puttalam","15","1","0","0","0","1","0","0","0",2012,52,2012-12-22,2012-12-28
"20","Anuradhapura","22","1","0","0","0","1","0","0","1",2012,52,2012-12-22,2012-12-28
"21","Polonnaruwa","1","1","0","0","0","5","0","0","0",2012,52,2012-12-22,2012-12-28
"22","Badulla","12","1","0","1","0","1","0","0","0",2012,52,2012-12-22,2012-12-28
"23","Monaragala","6","0","0","0","0","0","0","1","0",2012,52,2012-12-22,2012-12-28
"24","Ratnapura","8","1","0","0","0","2","0","0","0",2012,52,2012-12-22,2012-12-28
"25","Kegalle","28","0","0","0","0","1","0","2","0",2012,52,2012-12-22,2012-12-28
"26","Kalmune","6","0","0","0","0","0","0","0","0",2012,52,2012-12-22,2012-12-28
