"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","34","07","01","03","02","05","00","03",2007,40,2007-09-29,2007-10-05
"2","Gampaha","23","03","00","04","00","07","00","04",2007,40,2007-09-29,2007-10-05
"3","Kalutara","04","05","00","00","01","12","00","01",2007,40,2007-09-29,2007-10-05
"4","Kandy","08","08","00","02","00","05","04","27",2007,40,2007-09-29,2007-10-05
"5","Matale","04","04","00","00","00","01","00","03",2007,40,2007-09-29,2007-10-05
"6","NuwaraEliya","00","02","00","00","00","00","01","08",2007,40,2007-09-29,2007-10-05
"7","Galle","01","01","00","00","00","05","00","00",2007,40,2007-09-29,2007-10-05
"8","Hambanthota","03","11","00","00","00","01","01","01",2007,40,2007-09-29,2007-10-05
"9","Matara","10","03","00","01","00","20","00","01",2007,40,2007-09-29,2007-10-05
"10","Jaffna","16","05","00","11","04","00","00","00",2007,40,2007-09-29,2007-10-05
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,40,2007-09-29,2007-10-05
"12","Mannar","00","02","00","01","00","00","00","02",2007,40,2007-09-29,2007-10-05
"13","Vavuniya","02","01","00","03","00","00","00","00",2007,40,2007-09-29,2007-10-05
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,40,2007-09-29,2007-10-05
"15","Batticaloa","01","00","00","00","00","00","00","07",2007,40,2007-09-29,2007-10-05
"16","Ampara","00","01","00","00","00","00","00","01",2007,40,2007-09-29,2007-10-05
"17","Trincomalee","00","04","00","01","00","00","01","01",2007,40,2007-09-29,2007-10-05
"18","Kurunagala","22","11","01","02","03","08","01","07",2007,40,2007-09-29,2007-10-05
"19","Puttalam","11","13","01","02","00","02","00","01",2007,40,2007-09-29,2007-10-05
"20","Anuradhapura","05","07","00","00","00","00","00","01",2007,40,2007-09-29,2007-10-05
"21","Polonnaruwa","01","03","00","00","00","00","00","03",2007,40,2007-09-29,2007-10-05
"22","Badulla","05","11","00","00","00","00","03","03",2007,40,2007-09-29,2007-10-05
"23","Monaragala","01","05","00","02","00","01","02","00",2007,40,2007-09-29,2007-10-05
"24","Ratnapura","13","08","00","03","00","02","00","01",2007,40,2007-09-29,2007-10-05
"25","Kegalle","21","07","00","02","00","12","00","08",2007,40,2007-09-29,2007-10-05
"26","Kalmune","0","03","00","00","01","00","00","02",2007,40,2007-09-29,2007-10-05
