"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","05","03","00","01","00","00","00","01",2007,17,2007-04-21,2007-04-27
"2","Gampaha","02","01","00","00","00","01","00","01",2007,17,2007-04-21,2007-04-27
"3","Kalutara","03","06","00","01","00","02","00","00",2007,17,2007-04-21,2007-04-27
"4","Kandy","03","08","00","00","00","00","03","04",2007,17,2007-04-21,2007-04-27
"5","Matale","00","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"6","NuwaraEliya","00","05","01","01","00","00","00","03",2007,17,2007-04-21,2007-04-27
"7","Galle","00","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"8","Hambanthota","00","00","00","00","00","00","01","00",2007,17,2007-04-21,2007-04-27
"9","Matara","05","06","01","00","00","11","03","00",2007,17,2007-04-21,2007-04-27
"10","Jaffna","00","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"12","Mannar","00","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"13","Vavuniya","00","01","00","00","01","00","00","00",2007,17,2007-04-21,2007-04-27
"14","Mullaitivu","00","01","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"15","Batticaloa","01","01","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"16","Ampara","00","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"17","Trincomalee","00","04","00","00","00","00","00","04",2007,17,2007-04-21,2007-04-27
"18","Kurunagala","03","04","00","00","00","00","00","01",2007,17,2007-04-21,2007-04-27
"19","Puttalam","01","02","00","02","00","01","00","01",2007,17,2007-04-21,2007-04-27
"20","Anuradhapura","01","00","00","00","00","00","02","01",2007,17,2007-04-21,2007-04-27
"21","Polonnaruwa","03","00","00","00","00","00","00","00",2007,17,2007-04-21,2007-04-27
"22","Badulla","00","06","00","01","00","01","00","00",2007,17,2007-04-21,2007-04-27
"23","Monaragala","00","05","00","00","00","01","03","01",2007,17,2007-04-21,2007-04-27
"24","Ratnapura","00","05","00","00","00","01","00","01",2007,17,2007-04-21,2007-04-27
"25","Kegalle","00","02","00","00","00","01","00","00",2007,17,2007-04-21,2007-04-27
"26","Kalmune","00","00","00","00","00","00","00","01",2007,17,2007-04-21,2007-04-27
