"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","72","1","0","2","1","4","0","0","0",2013,19,2013-05-04,2013-05-10
"2","Gampaha","43","2","0","0","1","7","1","3","0",2013,19,2013-05-04,2013-05-10
"3","Kalutara","24","2","0","0","0","0","0","1","0",2013,19,2013-05-04,2013-05-10
"4","Kandy","33","3","0","1","1","3","3","3","0",2013,19,2013-05-04,2013-05-10
"5","Matale","13","2","0","0","0","2","1","3","0",2013,19,2013-05-04,2013-05-10
"6","NuwaraEliya","4","15","0","0","0","0","1","4","0",2013,19,2013-05-04,2013-05-10
"7","Galle","18","0","0","1","0","0","0","0","0",2013,19,2013-05-04,2013-05-10
"8","Hambanthota","4","0","0","0","0","5","0","1","0",2013,19,2013-05-04,2013-05-10
"9","Matara","10","1","0","1","22","1","1","6","0",2013,19,2013-05-04,2013-05-10
"10","Jaffna","15","3","0","10","0","0","5","0","0",2013,19,2013-05-04,2013-05-10
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2013,19,2013-05-04,2013-05-10
"12","Mannar","1","4","0","2","0","0","0","0","0",2013,19,2013-05-04,2013-05-10
"13","Vavuniya","3","2","0","1","0","2","0","0","0",2013,19,2013-05-04,2013-05-10
"14","Mullaitivu","8","1","0","0","1","1","1","0","0",2013,19,2013-05-04,2013-05-10
"15","Batticaloa","14","6","0","0","0","1","0","1","0",2013,19,2013-05-04,2013-05-10
"16","Ampara","0","0","0","0","0","0","0","0","0",2013,19,2013-05-04,2013-05-10
"17","Trincomalee","0","2","0","0","0","0","0","1","0",2013,19,2013-05-04,2013-05-10
"18","Kurunagala","29","0","1","0","0","5","0","2","0",2013,19,2013-05-04,2013-05-10
"19","Puttalam","9","0","0","1","0","0","0","0","0",2013,19,2013-05-04,2013-05-10
"20","Anuradhapura","7","1","0","0","0","5","1","0","0",2013,19,2013-05-04,2013-05-10
"21","Polonnaruwa","9","0","0","1","0","2","0","0","0",2013,19,2013-05-04,2013-05-10
"22","Badulla","7","1","0","1","0","0","2","1","0",2013,19,2013-05-04,2013-05-10
"23","Monaragala","1","3","0","1","0","6","0","3","0",2013,19,2013-05-04,2013-05-10
"24","Ratnapura","57","9","0","4","0","6","0","4","0",2013,19,2013-05-04,2013-05-10
"25","Kegalle","29","2","0","0","0","5","4","4","0",2013,19,2013-05-04,2013-05-10
"26","Kalmune","5","2","0","0","0","0","0","0","0",2013,19,2013-05-04,2013-05-10
