"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","71","06","00","10","01","08","00","03",2007,49,2007-12-01,2007-12-07
"2","Gampaha","32","01","00","02","00","08","01","01",2007,49,2007-12-01,2007-12-07
"3","Kalutara","11","11","00","04","00","10","00","00",2007,49,2007-12-01,2007-12-07
"4","Kandy","08","09","00","01","00","12","04","04",2007,49,2007-12-01,2007-12-07
"5","Matale","08","06","00","01","00","19","00","02",2007,49,2007-12-01,2007-12-07
"6","NuwaraEliya","01","00","00","05","00","00","01","03",2007,49,2007-12-01,2007-12-07
"7","Galle","02","01","00","00","00","16","00","00",2007,49,2007-12-01,2007-12-07
"8","Hambanthota","01","04","00","00","00","01","02","01",2007,49,2007-12-01,2007-12-07
"9","Matara","11","02","01","05","00","11","06","01",2007,49,2007-12-01,2007-12-07
"10","Jaffna","00","00","00","00","00","00","00","00",2007,49,2007-12-01,2007-12-07
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,49,2007-12-01,2007-12-07
"12","Mannar","00","00","00","03","00","00","00","00",2007,49,2007-12-01,2007-12-07
"13","Vavuniya","03","02","00","00","00","00","00","01",2007,49,2007-12-01,2007-12-07
"14","Mullaitivu","00","00","00","00","00","00","00","01",2007,49,2007-12-01,2007-12-07
"15","Batticaloa","00","02","00","00","00","00","00","02",2007,49,2007-12-01,2007-12-07
"16","Ampara","00","17","00","01","00","02","00","02",2007,49,2007-12-01,2007-12-07
"17","Trincomalee","01","11","00","00","00","01","02","03",2007,49,2007-12-01,2007-12-07
"18","Kurunagala","23","18","00","00","03","05","00","04",2007,49,2007-12-01,2007-12-07
"19","Puttalam","31","11","01","02","00","03","00","00",2007,49,2007-12-01,2007-12-07
"20","Anuradhapura","06","07","00","00","00","02","00","00",2007,49,2007-12-01,2007-12-07
"21","Polonnaruwa","02","11","00","00","00","00","00","02",2007,49,2007-12-01,2007-12-07
"22","Badulla","06","10","01","08","02","00","03","15",2007,49,2007-12-01,2007-12-07
"23","Monaragala","00","15","00","01","00","00","02","00",2007,49,2007-12-01,2007-12-07
"24","Ratnapura","05","06","00","01","00","02","02","00",2007,49,2007-12-01,2007-12-07
"25","Kegalle","13","00","01","03","01","05","01","05",2007,49,2007-12-01,2007-12-07
"26","Kalmune","00","04","00","00","00","00","00","01",2007,49,2007-12-01,2007-12-07
