"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","132","0","0","2","4","1","0","0","0","7","4","0",2013,35,2013-08-24,2013-08-30
"2","Gampaha","85","7","2","1","0","12","1","4","0","0","3","0",2013,35,2013-08-24,2013-08-30
"3","Kalutara","37","5","0","1","9","5","0","0","0","0","0","0",2013,35,2013-08-24,2013-08-30
"4","Kandy","24","2","1","0","0","2","0","0","0","2","1","1",2013,35,2013-08-24,2013-08-30
"5","Matale","5","0","0","2","2","0","0","0","0","1","0","0",2013,35,2013-08-24,2013-08-30
"6","NuwaraEliya","8","2","0","0","0","0","2","0","0","7","0","0",2013,35,2013-08-24,2013-08-30
"7","Galle","21","3","6","0","0","0","1","0","0","7","1","0",2013,35,2013-08-24,2013-08-30
"8","Hambanthota","7","0","0","1","0","0","0","2","0","2","4","0",2013,35,2013-08-24,2013-08-30
"9","Matara","5","0","1","1","0","3","4","2","0","1","4","5",2013,35,2013-08-24,2013-08-30
"10","Jaffna","4","14","0","3","2","0","0","0","0","1","0","0",2013,35,2013-08-24,2013-08-30
"11","Kilinochchi","3","0","0","0","0","0","0","0","0","0","0","1",2013,35,2013-08-24,2013-08-30
"12","Mannar","2","7","0","0","11","2","0","0","0","0","0","0",2013,35,2013-08-24,2013-08-30
"13","Vavuniya","0","0","0","0","1","0","0","0","0","0","1","0",2013,35,2013-08-24,2013-08-30
"14","Mullaitivu","1","0","0","0","0","0","0","0","0","0","0","0",2013,35,2013-08-24,2013-08-30
"15","Batticaloa","6","8","1","0","0","0","0","0","0","1","0","0",2013,35,2013-08-24,2013-08-30
"16","Ampara","1","4","0","0","0","0","0","1","0","3","0","0",2013,35,2013-08-24,2013-08-30
"17","Trincomalee","2","1","0","0","0","1","0","0","0","0","0","1",2013,35,2013-08-24,2013-08-30
"18","Kurunagala","26","4","2","2","0","13","1","1","0","5","1","1",2013,35,2013-08-24,2013-08-30
"19","Puttalam","11","2","0","0","0","4","0","0","0","0","2","0",2013,35,2013-08-24,2013-08-30
"20","Anuradhapura","4","3","0","0","0","1","0","1","0","3","0","12",2013,35,2013-08-24,2013-08-30
"21","Polonnaruwa","2","1","0","0","0","0","0","0","0","0","0","2",2013,35,2013-08-24,2013-08-30
"22","Badulla","15","1","0","0","0","1","2","0","0","2","1","0",2013,35,2013-08-24,2013-08-30
"23","Monaragala","2","4","0","0","0","1","3","1","0","0","0","1",2013,35,2013-08-24,2013-08-30
"24","Ratnapura","23","5","0","0","0","3","0","4","0","2","0","0",2013,35,2013-08-24,2013-08-30
"25","Kegalle","12","2","2","3","2","5","0","5","0","4","3","0",2013,35,2013-08-24,2013-08-30
"26","Kalmune","3","3","0","0","2","0","0","0","0","3","0","0",2013,35,2013-08-24,2013-08-30
