"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","41","03","00","00","02","02","00","02",2007,41,2007-10-06,2007-10-12
"2","Gampaha","18","06","02","02","00","03","00","05",2007,41,2007-10-06,2007-10-12
"3","Kalutara","06","03","00","00","02","06","00","01",2007,41,2007-10-06,2007-10-12
"4","Kandy","08","03","00","01","00","02","02","15",2007,41,2007-10-06,2007-10-12
"5","Matale","01","04","00","00","00","02","00","02",2007,41,2007-10-06,2007-10-12
"6","NuwaraEliya","00","00","00","00","00","01","01","04",2007,41,2007-10-06,2007-10-12
"7","Galle","01","05","00","00","00","01","00","00",2007,41,2007-10-06,2007-10-12
"8","Hambanthota","01","05","00","00","00","00","00","00",2007,41,2007-10-06,2007-10-12
"9","Matara","05","01","00","01","00","11","03","00",2007,41,2007-10-06,2007-10-12
"10","Jaffna","18","03","00","04","00","00","03","03",2007,41,2007-10-06,2007-10-12
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,41,2007-10-06,2007-10-12
"12","Mannar","00","04","00","02","00","00","00","00",2007,41,2007-10-06,2007-10-12
"13","Vavuniya","01","03","00","01","00","00","00","00",2007,41,2007-10-06,2007-10-12
"14","Mullaitivu","00","00","00","00","00","00","00","01",2007,41,2007-10-06,2007-10-12
"15","Batticaloa","00","00","00","00","00","00","00","01",2007,41,2007-10-06,2007-10-12
"16","Ampara","00","00","00","01","01","00","00","01",2007,41,2007-10-06,2007-10-12
"17","Trincomalee","00","07","00","00","00","00","00","01",2007,41,2007-10-06,2007-10-12
"18","Kurunagala","26","15","00","00","01","05","00","06",2007,41,2007-10-06,2007-10-12
"19","Puttalam","03","04","01","03","00","00","00","00",2007,41,2007-10-06,2007-10-12
"20","Anuradhapura","03","02","00","01","00","02","00","01",2007,41,2007-10-06,2007-10-12
"21","Polonnaruwa","01","03","00","01","00","00","00","00",2007,41,2007-10-06,2007-10-12
"22","Badulla","00","07","00","02","00","00","02","04",2007,41,2007-10-06,2007-10-12
"23","Monaragala","03","00","00","00","01","01","03","00",2007,41,2007-10-06,2007-10-12
"24","Ratnapura","12","15","02","00","00","04","00","01",2007,41,2007-10-06,2007-10-12
"25","Kegalle","09","02","00","02","03","08","00","04",2007,41,2007-10-06,2007-10-12
"26","Kalmune","0","08","00","00","00","00","00","04",2007,41,2007-10-06,2007-10-12
