"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","22","8","0","8","22","20","0","2","0",2008,44,2008-10-25,2008-10-31
"2","Gampaha","10","3","0","2","0","16","0","5","0",2008,44,2008-10-25,2008-10-31
"3","Kalutara","3","4","0","2","0","8","0","0","0",2008,44,2008-10-25,2008-10-31
"4","Kandy","8","4","1","1","1","6","0","3","0",2008,44,2008-10-25,2008-10-31
"5","Matale","0","9","0","2","1","2","0","0","0",2008,44,2008-10-25,2008-10-31
"6","NuwaraEliya","0","16","0","2","0","3","0","0","0",2008,44,2008-10-25,2008-10-31
"7","Galle","5","4","0","0","0","14","0","0","0",2008,44,2008-10-25,2008-10-31
"8","Hambanthota","0","3","0","1","0","1","0","0","0",2008,44,2008-10-25,2008-10-31
"9","Matara","7","3","0","0","0","10","2","0","0",2008,44,2008-10-25,2008-10-31
"10","Jaffna","0","1","0","0","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
"12","Mannar","0","0","0","0","0","0","0","1","0",2008,44,2008-10-25,2008-10-31
"13","Vavuniya","0","0","0","0","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
"15","Batticaloa","0","9","0","1","0","0","0","0","1",2008,44,2008-10-25,2008-10-31
"16","Ampara","2","1","0","0","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
"17","Trincomalee","1","1","0","0","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
"18","Kurunagala","5","4","0","0","1","11","1","0","0",2008,44,2008-10-25,2008-10-31
"19","Puttalam","1","5","0","1","0","1","1","0","0",2008,44,2008-10-25,2008-10-31
"20","Anuradhapura","0","5","0","0","0","0","0","1","0",2008,44,2008-10-25,2008-10-31
"21","Polonnaruwa","2","0","0","0","0","0","0","1","0",2008,44,2008-10-25,2008-10-31
"22","Badulla","1","11","0","0","0","2","1","6","0",2008,44,2008-10-25,2008-10-31
"23","Monaragala","0","5","0","6","0","2","1","3","0",2008,44,2008-10-25,2008-10-31
"24","Ratnapura","4","5","0","0","0","6","0","2","0",2008,44,2008-10-25,2008-10-31
"25","Kegalle","7","9","0","0","1","18","0","8","0",2008,44,2008-10-25,2008-10-31
"26","Kalmune","0","5","0","1","0","0","0","0","0",2008,44,2008-10-25,2008-10-31
