"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","58","6","1","0","0","1","0","1","0",2010,18,2010-05-01,2010-05-07
"2","Gampaha","32","3","1","0","0","0","2","1","0",2010,18,2010-05-01,2010-05-07
"3","Kalutara","22","6","0","0","0","6","0","0","0",2010,18,2010-05-01,2010-05-07
"4","Kandy","21","3","0","0","0","0","5","0","0",2010,18,2010-05-01,2010-05-07
"5","Matale","7","2","0","0","1","1","1","2","0",2010,18,2010-05-01,2010-05-07
"6","NuwaraEliya","1","6","0","1","9","0","5","3","0",2010,18,2010-05-01,2010-05-07
"7","Galle","9","2","0","0","0","0","0","0","1",2010,18,2010-05-01,2010-05-07
"8","Hambanthota","6","1","0","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"9","Matara","8","7","0","0","0","10","0","0","0",2010,18,2010-05-01,2010-05-07
"10","Jaffna","13","3","0","6","0","1","0","0","0",2010,18,2010-05-01,2010-05-07
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"12","Mannar","2","1","0","2","2","0","0","0","0",2010,18,2010-05-01,2010-05-07
"13","Vavuniya","3","0","0","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"15","Batticaloa","14","2","0","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"16","Ampara","4","1","0","0","0","1","0","1","0",2010,18,2010-05-01,2010-05-07
"17","Trincomalee","5","0","0","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"18","Kurunagala","15","4","1","1","1","3","0","1","1",2010,18,2010-05-01,2010-05-07
"19","Puttalam","12","0","0","2","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
"20","Anuradhapura","3","0","0","1","0","2","1","0","0",2010,18,2010-05-01,2010-05-07
"21","Polonnaruwa","23","1","0","0","1","4","0","2","0",2010,18,2010-05-01,2010-05-07
"22","Badulla","12","6","0","0","0","0","2","3","0",2010,18,2010-05-01,2010-05-07
"23","Monaragala","15","3","1","1","0","6","2","0","0",2010,18,2010-05-01,2010-05-07
"24","Ratnapura","41","5","0","0","4","4","1","0","0",2010,18,2010-05-01,2010-05-07
"25","Kegalle","12","3","0","1","0","3","0","0","0",2010,18,2010-05-01,2010-05-07
"26","Kalmune","2","3","1","0","0","0","0","0","0",2010,18,2010-05-01,2010-05-07
