"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","57","02","00","02","00","04","00","00",2007,43,2007-10-20,2007-10-26
"2","Gampaha","26","02","00","00","00","04","00","04",2007,43,2007-10-20,2007-10-26
"3","Kalutara","05","04","00","02","01","03","00","00",2007,43,2007-10-20,2007-10-26
"4","Kandy","05","08","00","00","00","01","01","11",2007,43,2007-10-20,2007-10-26
"5","Matale","01","01","00","00","00","00","00","01",2007,43,2007-10-20,2007-10-26
"6","NuwaraEliya","00","03","00","01","00","01","01","02",2007,43,2007-10-20,2007-10-26
"7","Galle","03","02","00","00","03","07","00","00",2007,43,2007-10-20,2007-10-26
"8","Hambanthota","00","03","00","00","02","01","01","00",2007,43,2007-10-20,2007-10-26
"9","Matara","08","05","00","02","00","21","03","00",2007,43,2007-10-20,2007-10-26
"10","Jaffna","00","00","00","00","00","00","00","00",2007,43,2007-10-20,2007-10-26
"11","Kilinochchi","00","01","00","00","00","00","00","00",2007,43,2007-10-20,2007-10-26
"12","Mannar","00","02","00","01","00","00","00","00",2007,43,2007-10-20,2007-10-26
"13","Vavuniya","01","00","00","00","00","00","00","01",2007,43,2007-10-20,2007-10-26
"14","Mullaitivu","00","02","00","00","00","00","00","00",2007,43,2007-10-20,2007-10-26
"15","Batticaloa","00","00","00","00","00","00","00","04",2007,43,2007-10-20,2007-10-26
"16","Ampara","00","01","00","00","00","00","00","00",2007,43,2007-10-20,2007-10-26
"17","Trincomalee","00","07","00","00","00","00","00","02",2007,43,2007-10-20,2007-10-26
"18","Kurunagala","10","12","00","01","00","02","01","03",2007,43,2007-10-20,2007-10-26
"19","Puttalam","08","03","00","02","00","00","00","02",2007,43,2007-10-20,2007-10-26
"20","Anuradhapura","10","13","00","01","00","00","00","00",2007,43,2007-10-20,2007-10-26
"21","Polonnaruwa","00","08","00","00","00","00","00","02",2007,43,2007-10-20,2007-10-26
"22","Badulla","02","13","00","00","00","01","05","02",2007,43,2007-10-20,2007-10-26
"23","Monaragala","00","02","00","00","00","00","03","00",2007,43,2007-10-20,2007-10-26
"24","Ratnapura","05","12","00","01","00","04","00","02",2007,43,2007-10-20,2007-10-26
"25","Kegalle","07","01","00","02","00","10","01","06",2007,43,2007-10-20,2007-10-26
"26","Kalmune","0","03","00","00","00","00","00","00",2007,43,2007-10-20,2007-10-26
