"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","12","22","01","01","00","00","00","01",2007,20,2007-05-12,2007-05-18
"2","Gampaha","05","05","00","01","00","00","00","00",2007,20,2007-05-12,2007-05-18
"3","Kalutara","03","18","00","02","01","02","00","00",2007,20,2007-05-12,2007-05-18
"4","Kandy","01","07","00","02","00","00","01","06",2007,20,2007-05-12,2007-05-18
"5","Matale","00","06","01","03","00","00","00","02",2007,20,2007-05-12,2007-05-18
"6","NuwaraEliya","03","17","00","01","00","00","01","06",2007,20,2007-05-12,2007-05-18
"7","Galle","00","07","00","00","00","00","00","01",2007,20,2007-05-12,2007-05-18
"8","Hambanthota","01","00","00","02","00","02","00","00",2007,20,2007-05-12,2007-05-18
"9","Matara","01","15","00","00","00","05","00","00",2007,20,2007-05-12,2007-05-18
"10","Jaffna","00","00","00","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"12","Mannar","00","00","00","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"13","Vavuniya","00","00","01","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"15","Batticaloa","02","19","01","00","00","00","00","27",2007,20,2007-05-12,2007-05-18
"16","Ampara","00","00","00","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"17","Trincomalee","00","17","00","00","00","00","00","03",2007,20,2007-05-12,2007-05-18
"18","Kurunagala","05","09","00","02","00","00","00","03",2007,20,2007-05-12,2007-05-18
"19","Puttalam","03","03","00","00","00","00","00","03",2007,20,2007-05-12,2007-05-18
"20","Anuradhapura","03","00","00","00","00","01","00","02",2007,20,2007-05-12,2007-05-18
"21","Polonnaruwa","00","01","00","00","00","00","00","00",2007,20,2007-05-12,2007-05-18
"22","Badulla","01","20","00","03","00","01","06","06",2007,20,2007-05-12,2007-05-18
"23","Monaragala","00","07","00","01","08","00","03","00",2007,20,2007-05-12,2007-05-18
"24","Ratnapura","03","06","01","01","00","00","00","00",2007,20,2007-05-12,2007-05-18
"25","Kegalle","04","10","00","00","00","03","00","02",2007,20,2007-05-12,2007-05-18
"26","Kalmune","00","12","00","00","00","00","00","01",2007,20,2007-05-12,2007-05-18
