"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","72","5","0","8","0","6","0","0","1",2011,2,2011-01-08,2011-01-14
"2","Gampaha","29","1","0","0","0","3","0","5","0",2011,2,2011-01-08,2011-01-14
"3","Kalutara","5","1","0","3","0","3","0","1","0",2011,2,2011-01-08,2011-01-14
"4","Kandy","3","3","0","0","0","3","1","0","0",2011,2,2011-01-08,2011-01-14
"5","Matale","1","1","0","1","2","4","1","0","0",2011,2,2011-01-08,2011-01-14
"6","NuwaraEliya","0","1","0","0","0","0","0","0","0",2011,2,2011-01-08,2011-01-14
"7","Galle","0","2","0","0","1","2","0","0","0",2011,2,2011-01-08,2011-01-14
"8","Hambanthota","3","2","0","0","0","1","3","0","0",2011,2,2011-01-08,2011-01-14
"9","Matara","1","0","0","0","0","2","5","0","0",2011,2,2011-01-08,2011-01-14
"10","Jaffna","26","3","0","6","0","0","13","3","0",2011,2,2011-01-08,2011-01-14
"11","Kilinochchi","0","0","0","0","0","0","1","0","0",2011,2,2011-01-08,2011-01-14
"12","Mannar","2","0","0","1","0","3","7","0","0",2011,2,2011-01-08,2011-01-14
"13","Vavuniya","3","1","0","0","0","3","0","0","0",2011,2,2011-01-08,2011-01-14
"14","Mullaitivu","2","0","0","0","0","0","0","0","0",2011,2,2011-01-08,2011-01-14
"15","Batticaloa","2","5","0","0","0","0","0","0","0",2011,2,2011-01-08,2011-01-14
"16","Ampara","1","1","0","0","0","0","0","1","0",2011,2,2011-01-08,2011-01-14
"17","Trincomalee","2","3","0","0","0","2","0","0","0",2011,2,2011-01-08,2011-01-14
"18","Kurunagala","5","23","0","0","0","5","4","2","0",2011,2,2011-01-08,2011-01-14
"19","Puttalam","3","8","0","0","0","1","1","0","0",2011,2,2011-01-08,2011-01-14
"20","Anuradhapura","2","1","0","0","0","5","2","2","0",2011,2,2011-01-08,2011-01-14
"21","Polonnaruwa","1","2","0","0","0","0","0","0","0",2011,2,2011-01-08,2011-01-14
"22","Badulla","1","0","0","0","0","1","0","0","0",2011,2,2011-01-08,2011-01-14
"23","Monaragala","0","0","0","0","0","2","0","0","0",2011,2,2011-01-08,2011-01-14
"24","Ratnapura","4","4","0","1","0","2","0","2","0",2011,2,2011-01-08,2011-01-14
"25","Kegalle","1","2","0","0","0","4","0","0","0",2011,2,2011-01-08,2011-01-14
"26","Kalmune","0","0","0","0","0","0","0","0","0",2011,2,2011-01-08,2011-01-14
