"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","772","0","0","1","0","1","0","0","0","2","0","0",2017,19,2017-05-06,2017-05-12
"2","Gampaha","567","0","0","0","0","0","0","0","0","2","0","0",2017,19,2017-05-06,2017-05-12
"3","Kalutara","208","1","0","0","0","3","0","0","0","9","1","0",2017,19,2017-05-06,2017-05-12
"4","Kandy","191","0","0","0","8","2","4","1","0","2","0","1",2017,19,2017-05-06,2017-05-12
"5","Matale","48","0","0","1","0","0","0","1","0","0","0","1",2017,19,2017-05-06,2017-05-12
"6","NuwaraEliya","13","0","0","0","0","0","1","0","0","16","1","0",2017,19,2017-05-06,2017-05-12
"7","Galle","76","0","0","0","1","2","0","0","0","9","1","0",2017,19,2017-05-06,2017-05-12
"8","Hambanthota","46","1","0","0","0","0","0","0","0","2","0","11",2017,19,2017-05-06,2017-05-12
"9","Matara","107","0","0","0","0","1","1","0","0","8","0","3",2017,19,2017-05-06,2017-05-12
"10","Jaffna","73","1","0","0","0","0","2","0","0","3","0","0",2017,19,2017-05-06,2017-05-12
"11","Kilinochchi","4","0","0","0","1","0","0","0","0","0","2","0",2017,19,2017-05-06,2017-05-12
"12","Mannar","10","0","0","0","0","0","0","0","0","0","0","0",2017,19,2017-05-06,2017-05-12
"13","Vavuniya","15","0","0","0","0","1","0","0","0","0","0","0",2017,19,2017-05-06,2017-05-12
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2017,19,2017-05-06,2017-05-12
"15","Batticaloa","209","2","0","0","1","0","0","0","0","5","0","0",2017,19,2017-05-06,2017-05-12
"16","Ampara","23","0","0","0","0","0","0","0","0","4","1","0",2017,19,2017-05-06,2017-05-12
"17","Trincomalee","47","0","0","0","0","1","0","1","0","0","0","0",2017,19,2017-05-06,2017-05-12
"18","Kurunagala","247","1","0","0","0","0","0","1","0","10","0","7",2017,19,2017-05-06,2017-05-12
"19","Puttalam","127","0","0","0","0","0","0","0","0","1","0","0",2017,19,2017-05-06,2017-05-12
"20","Anuradhapura","66","0","0","0","0","1","0","0","0","3","0","6",2017,19,2017-05-06,2017-05-12
"21","Polonnaruwa","34","0","0","0","0","0","0","1","0","0","0","0",2017,19,2017-05-06,2017-05-12
"22","Badulla","32","2","1","0","0","0","2","2","0","13","0","0",2017,19,2017-05-06,2017-05-12
"23","Monaragala","19","1","0","0","0","1","1","1","0","3","0","0",2017,19,2017-05-06,2017-05-12
"24","Ratnapura","23","0","1","0","0","8","0","0","0","2","2","3",2017,19,2017-05-06,2017-05-12
"25","Kegalle","186","0","0","0","0","0","0","0","0","13","3","0",2017,19,2017-05-06,2017-05-12
"26","Kalmune","93","0","0","0","0","0","0","0","0","0","0","0",2017,19,2017-05-06,2017-05-12
