"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","07","02","00","00","00","01","00","00",2007,15,2007-04-07,2007-04-13
"2","Gampaha","03","02","00","01","00","06","00","00",2007,15,2007-04-07,2007-04-13
"3","Kalutara","01","06","00","02","00","00","00","00",2007,15,2007-04-07,2007-04-13
"4","Kandy","03","14","00","00","00","00","02","04",2007,15,2007-04-07,2007-04-13
"5","Matale","01","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"6","NuwaraEliya","00","03","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"7","Galle","00","01","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"8","Hambanthota","00","00","01","01","00","01","00","00",2007,15,2007-04-07,2007-04-13
"9","Matara","01","02","00","01","00","05","00","00",2007,15,2007-04-07,2007-04-13
"10","Jaffna","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"12","Mannar","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"13","Vavuniya","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"15","Batticaloa","05","02","00","00","00","00","00","06",2007,15,2007-04-07,2007-04-13
"16","Ampara","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"17","Trincomalee","01","02","00","01","00","00","00","01",2007,15,2007-04-07,2007-04-13
"18","Kurunagala","05","02","00","01","00","00","00","00",2007,15,2007-04-07,2007-04-13
"19","Puttalam","00","01","00","01","00","00","00","00",2007,15,2007-04-07,2007-04-13
"20","Anuradhapura","01","02","01","00","00","00","02","00",2007,15,2007-04-07,2007-04-13
"21","Polonnaruwa","00","01","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"22","Badulla","00","10","00","02","00","01","00","01",2007,15,2007-04-07,2007-04-13
"23","Monaragala","00","04","00","01","00","01","00","02",2007,15,2007-04-07,2007-04-13
"24","Ratnapura","03","06","00","01","01","01","00","01",2007,15,2007-04-07,2007-04-13
"25","Kegalle","00","01","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
"26","Kalmune","00","00","00","00","00","00","00","00",2007,15,2007-04-07,2007-04-13
