"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Year","Week","StartDate","EndDate"
"1","Colombo","11","08","00","01","00","03","00","00",2007,11,2007-03-10,2007-03-16
"2","Gampaha","09","05","00","01","00","16","00","01",2007,11,2007-03-10,2007-03-16
"3","Kalutara","04","05","00","00","01","07","00","01",2007,11,2007-03-10,2007-03-16
"4","Kandy","03","01","00","00","00","02","01","06",2007,11,2007-03-10,2007-03-16
"5","Matale","01","05","00","01","00","00","01","05",2007,11,2007-03-10,2007-03-16
"6","NuwaraEliya","01","02","00","00","00","00","01","06",2007,11,2007-03-10,2007-03-16
"7","Galle","01","06","00","00","00","04","03","00",2007,11,2007-03-10,2007-03-16
"8","Hambanthota","03","00","00","01","00","02","01","02",2007,11,2007-03-10,2007-03-16
"9","Matara","02","04","00","02","03","05","05","01",2007,11,2007-03-10,2007-03-16
"10","Jaffna","00","00","00","00","00","00","00","00",2007,11,2007-03-10,2007-03-16
"11","Kilinochchi","00","00","00","00","00","00","00","00",2007,11,2007-03-10,2007-03-16
"12","Mannar","00","00","00","01","00","00","00","00",2007,11,2007-03-10,2007-03-16
"13","Vavuniya","00","00","00","00","00","00","00","00",2007,11,2007-03-10,2007-03-16
"14","Mullaitivu","00","00","00","00","00","00","00","00",2007,11,2007-03-10,2007-03-16
"15","Batticaloa","01","01","00","03","00","00","00","04",2007,11,2007-03-10,2007-03-16
"16","Ampara","00","00","00","00","00","00","00","00",2007,11,2007-03-10,2007-03-16
"17","Trincomalee","00","02","00","00","00","00","00","01",2007,11,2007-03-10,2007-03-16
"18","Kurunagala","11","01","00","02","00","00","01","01",2007,11,2007-03-10,2007-03-16
"19","Puttalam","02","03","00","03","00","00","00","08",2007,11,2007-03-10,2007-03-16
"20","Anuradhapura","01","00","00","00","01","00","00","01",2007,11,2007-03-10,2007-03-16
"21","Polonnaruwa","01","00","00","00","00","00","00","00",2007,11,2007-03-10,2007-03-16
"22","Badulla","01","08","00","01","00","00","04","09",2007,11,2007-03-10,2007-03-16
"23","Monaragala","00","03","00","02","00","01","04","00",2007,11,2007-03-10,2007-03-16
"24","Ratnapura","06","12","00","01","01","01","00","01",2007,11,2007-03-10,2007-03-16
"25","Kegalle","03","07","01","03","00","01","01","03",2007,11,2007-03-10,2007-03-16
"26","Kalmune","00","00","00","00","00","00","00","01",2007,11,2007-03-10,2007-03-16
