"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Chickenpox","Meningitis","Leishmaniasis","Year","Week","StartDate","EndDate"
"1","Colombo","477","2","1","1","2","3","0","0","0","6","0","0",2019,28,2019-07-06,2019-07-12
"2","Gampaha","432","0","0","0","0","0","0","0","0","21","0","7",2019,28,2019-07-06,2019-07-12
"3","Kalutara","220","3","0","1","0","7","0","0","0","13","2","0",2019,28,2019-07-06,2019-07-12
"4","Kandy","141","3","0","0","0","1","3","0","0","3","1","1",2019,28,2019-07-06,2019-07-12
"5","Matale","17","0","0","0","0","2","0","0","0","1","0","4",2019,28,2019-07-06,2019-07-12
"6","NuwaraEliya","13","2","0","0","0","1","2","0","0","5","0","0",2019,28,2019-07-06,2019-07-12
"7","Galle","275","1","0","0","0","5","0","8","0","1","0","0",2019,28,2019-07-06,2019-07-12
"8","Hambanthota","47","0","0","0","0","1","2","1","0","2","1","20",2019,28,2019-07-06,2019-07-12
"9","Matara","131","1","0","0","1","10","2","0","0","9","0","14",2019,28,2019-07-06,2019-07-12
"10","Jaffna","23","8","1","1","0","0","2","0","0","9","1","0",2019,28,2019-07-06,2019-07-12
"11","Kilinochchi","2","0","0","0","0","0","0","0","0","0","0","0",2019,28,2019-07-06,2019-07-12
"12","Mannar","0","0","0","0","0","0","0","0","0","0","0","0",2019,28,2019-07-06,2019-07-12
"13","Vavuniya","5","3","0","0","0","2","0","0","0","2","0","0",2019,28,2019-07-06,2019-07-12
"14","Mullaitivu","0","0","0","0","0","0","0","0","0","0","0","0",2019,28,2019-07-06,2019-07-12
"15","Batticaloa","20","10","0","0","0","0","0","0","0","6","2","0",2019,28,2019-07-06,2019-07-12
"16","Ampara","8","1","0","0","0","2","0","0","0","16","0","0",2019,28,2019-07-06,2019-07-12
"17","Trincomalee","4","0","0","0","0","0","0","0","0","6","0","0",2019,28,2019-07-06,2019-07-12
"18","Kurunagala","53","0","0","0","14","3","0","0","0","11","1","6",2019,28,2019-07-06,2019-07-12
"19","Puttalam","37","0","0","0","0","2","0","0","0","3","3","0",2019,28,2019-07-06,2019-07-12
"20","Anuradhapura","16","2","0","0","0","0","0","0","0","1","0","11",2019,28,2019-07-06,2019-07-12
"21","Polonnaruwa","15","1","0","0","0","2","0","0","0","3","0","8",2019,28,2019-07-06,2019-07-12
"22","Badulla","39","3","0","0","0","5","5","0","0","4","4","0",2019,28,2019-07-06,2019-07-12
"23","Monaragala","10","0","0","0","1","4","4","1","0","6","2","1",2019,28,2019-07-06,2019-07-12
"24","Ratnapura","77","5","0","0","0","12","0","0","0","2","6","0",2019,28,2019-07-06,2019-07-12
"25","Kegalle","63","2","1","0","0","6","2","0","0","12","0","1",2019,28,2019-07-06,2019-07-12
"26","Kalmune","6","8","0","0","0","0","0","1","0","6","0","0",2019,28,2019-07-06,2019-07-12
